rank,ticker,name,category,history_yr,start,cagr,n_matched,diversity,med_21d,win_21d,med_63d,win_63d,med_252d,win_252d
468,OTIS,OTIS,US Equity,6.4,2020-03-19,0.0963,492,THIN,0.0034,0.5249,-0.0065,0.4735,-0.0219,0.4573
469,PSKY,PSKY,US Equity,20.6,2005-12-05,-0.0293,981,MODERATE,0.0032,0.5169,0.0262,0.5767,-0.0264,0.476
470,IQQH.DE,iSh Global Healthcare,UCITS ETF,18.7,2008-01-02,-0.0386,491,THIN,0.0023,0.5159,0.0323,0.5971,-0.0265,0.4745
471,INRG.L,iSh Global Clean Energy,UCITS ETF,17.6,2009-01-02,-0.0068,491,THIN,-0.0004,0.4924,0.02,0.5641,-0.0269,0.4807
472,FTV,FTV,US Equity,10.1,2016-07-05,0.075,492,THIN,0.0008,0.5041,0.0027,0.5103,-0.0273,0.3943
473,PYPL,PYPL,US Equity,11.1,2015-07-06,0.0459,492,THIN,-0.0089,0.4682,-0.0237,0.4454,-0.0274,0.4817
474,F,F,US Equity,26.5,2000-01-03,0.0078,1140,ROBUST,0.0064,0.5241,-0.0078,0.4774,-0.0282,0.4482
475,NTAP,NTAP,US Equity,26.5,2000-01-03,0.0708,1140,ROBUST,0.0109,0.543,0.0398,0.5724,-0.03,0.4711
476,AMCR,AMCR,US Equity,14.2,2012-05-15,0.0521,492,THIN,0.0041,0.5235,0.0083,0.5383,-0.0303,0.437
477,SBUX,SBUX,US Equity,26.5,2000-01-03,0.1554,1140,ROBUST,-0.0044,0.4759,0.0037,0.5098,-0.0305,0.4535
478,IQV,IQV,US Equity,13.2,2013-05-09,0.138,492,THIN,0.0012,0.5069,0.028,0.5398,-0.0307,0.4797
479,AVY,AVY,US Equity,26.5,2000-01-03,0.0594,1140,ROBUST,0.0012,0.5095,-0.0075,0.4789,-0.035,0.4123
480,PFE,PFE,US Equity,26.5,2000-01-03,0.0323,1140,ROBUST,-0.0053,0.4643,-0.0053,0.4781,-0.0351,0.4298
481,HD,HD,US Equity,26.5,2000-01-03,0.0879,1140,ROBUST,0.0002,0.5007,-0.0032,0.4864,-0.0383,0.3781
482,MU,MU,US Equity,26.5,2000-01-03,0.1269,1140,ROBUST,0.0152,0.5445,0.0635,0.6063,-0.0408,0.4816
483,JBL,JBL,US Equity,26.5,2000-01-03,0.1008,1140,ROBUST,0.0055,0.5204,0.0247,0.5452,-0.0436,0.4561
484,ABNB,ABNB,US Equity,5.6,2020-12-10,0.0083,492,THIN,0.0071,0.5331,-0.015,0.4543,-0.0446,0.3963
485,WY,WY,US Equity,26.5,2000-01-03,0.0331,1140,ROBUST,0.001,0.5051,-0.0004,0.4992,-0.0449,0.4096
486,CTAS,CTAS,US Equity,26.5,2000-01-03,0.1393,1140,ROBUST,0.0097,0.5569,-0.0003,0.4985,-0.0457,0.3781
487,AMGN,AMGN,US Equity,26.5,2000-01-03,0.0889,1140,ROBUST,-0.0004,0.4985,0.0093,0.5271,-0.0478,0.4211
488,BF_B,BF_B,US Equity,26.5,2000-01-03,0.0806,1140,ROBUST,-0.0028,0.4796,-0.0113,0.4593,-0.0489,0.4018
489,IR,IR,US Equity,9.2,2017-05-12,0.178,492,THIN,0.0186,0.576,-0.004,0.4853,-0.0522,0.3882
490,ADBE,ADBE,US Equity,26.5,2000-01-03,0.1101,1140,ROBUST,-0.0024,0.4789,-0.0288,0.4261,-0.0543,0.4079
491,UPS,UPS,US Equity,26.5,2000-01-03,0.0459,1140,ROBUST,0.0029,0.5226,-0.0121,0.4578,-0.0552,0.3833
492,INVH,INVH,US Equity,9.5,2017-02-01,0.0714,492,THIN,-0.0003,0.489,0.0052,0.5162,-0.0555,0.3211
493,BBY,BBY,US Equity,26.5,2000-01-03,0.0685,1140,ROBUST,-0.0041,0.4774,0.0054,0.5151,-0.0562,0.3851
494,TSCO,TSCO,US Equity,26.5,2000-01-03,0.2238,1140,ROBUST,-0.0037,0.4854,-0.0099,0.4736,-0.0565,0.3518
495,MSI,MSI,US Equity,26.5,2000-01-03,0.0516,1140,ROBUST,0.0073,0.535,0.0068,0.5256,-0.0576,0.4272
496,MAS,MAS,US Equity,26.5,2000-01-03,0.0704,1140,ROBUST,0.0039,0.5197,0.0014,0.5023,-0.0606,0.3281
497,CAG,CAG,US Equity,26.5,2000-01-03,0.0305,1140,ROBUST,-0.0042,0.4716,-0.0174,0.4397,-0.0619,0.3596
498,AOS,AOS,US Equity,26.5,2000-01-03,0.1339,1140,ROBUST,0.0093,0.5532,0.0009,0.503,-0.0625,0.3868
499,VTRS,VTRS,US Equity,26.5,2000-01-03,0.026,1140,ROBUST,-0.0039,0.4832,0.023,0.5686,-0.0634,0.4202
500,UNH,UNH,US Equity,26.5,2000-01-03,0.1787,1140,ROBUST,0.0087,0.5481,0.0198,0.5543,-0.0644,0.3825
501,HSY,HSY,US Equity,26.5,2000-01-03,0.1064,1140,ROBUST,-0.0066,0.4606,-0.0173,0.4231,-0.0651,0.2851
502,CSGP,CSGP,US Equity,26.5,2000-01-03,0.0882,1140,ROBUST,-0.0037,0.4803,0.015,0.5596,-0.0652,0.2974
503,DG,DG,US Equity,16.7,2009-11-13,0.1187,492,THIN,0.0134,0.5387,-0.0122,0.4794,-0.0717,0.4573
504,GEHC,GEHC,US Equity,3.6,2022-12-15,0.0463,492,THIN,0.0078,0.5318,0.0163,0.5457,-0.0725,0.3638
505,GPN,GPN,US Equity,25.5,2001-01-16,0.1357,1140,ROBUST,0.0001,0.5007,-0.0094,0.4819,-0.0787,0.357
506,AKAM,AKAM,US Equity,26.5,2000-01-03,-0.0369,1140,ROBUST,0.0187,0.5773,0.0696,0.5837,-0.0806,0.4079
507,NVR,NVR,US Equity,26.5,2000-01-03,0.2031,1140,ROBUST,0.0016,0.5051,0.0176,0.5445,-0.081,0.2921
508,TMUS,TMUS,US Equity,19.3,2007-04-19,0.0766,619,MODERATE,0.002,0.5112,0.0229,0.5689,-0.0868,0.4572
