rank,ticker,name,category,history_yr,start,cagr,n_matched,diversity,med_21d,win_21d,med_63d,win_63d,med_252d,win_252d
73,GOOG,GOOG,US Equity,21.9,2004-08-19,0.2544,1121,ROBUST,0.0298,0.6238,0.0698,0.6947,0.2893,0.8617
74,BG,BG,US Equity,25.0,2001-08-02,0.1018,1140,ROBUST,0.0173,0.5918,0.0522,0.6184,0.2835,0.6816
75,EQT,EQT,US Equity,26.5,2000-01-03,0.1112,1140,ROBUST,0.0061,0.5379,0.0361,0.6094,0.2835,0.8325
76,IVZ,IVZ,US Equity,26.5,2000-01-03,0.0457,1140,ROBUST,0.0251,0.602,0.0684,0.6833,0.2803,0.8772
77,CBOE,CBOE,US Equity,16.1,2010-06-15,0.1616,492,THIN,0.0259,0.6409,0.0722,0.7699,0.2792,1.0
78,BNY,BNY,US Equity,26.5,2000-01-03,0.0785,1140,ROBUST,0.0231,0.6778,0.075,0.825,0.2787,0.9026
79,GLW,GLW,US Equity,26.5,2000-01-03,0.0695,1140,ROBUST,0.0387,0.6494,0.1021,0.7044,0.2782,0.8167
80,CSCO,CSCO,US Equity,26.5,2000-01-03,0.0481,1140,ROBUST,0.0126,0.5911,0.0521,0.6523,0.2772,0.7491
81,ALFA.ST,Alfa Laval,Swedish,24.3,2002-05-17,0.1639,1138,ROBUST,0.0238,0.6652,0.0778,0.7564,0.2745,0.7144
82,MNST,MNST,US Equity,26.5,2000-01-03,0.334,1140,ROBUST,0.0346,0.6137,0.088,0.6938,0.2732,0.7088
83,MA,MA,US Equity,20.2,2006-05-25,0.2769,857,MODERATE,0.0191,0.6024,0.0423,0.7037,0.2714,0.8331
84,FFIV,FFIV,US Equity,26.5,2000-01-03,0.0756,1140,ROBUST,0.0307,0.6421,0.0937,0.644,0.2703,0.7272
85,META,META,US Equity,14.2,2012-05-18,0.2136,492,THIN,0.0242,0.6077,0.0569,0.6549,0.2669,0.8028
86,BLK,BLK,US Equity,26.5,2000-01-03,0.1957,1140,ROBUST,0.019,0.6268,0.0693,0.6976,0.2666,0.95
87,HLT,HLT,US Equity,12.6,2013-12-12,0.1759,492,THIN,0.0243,0.674,0.0738,0.7979,0.2621,0.9919
88,HAS,HAS,US Equity,26.5,2000-01-03,0.0906,1140,ROBUST,0.0177,0.5977,0.0489,0.6222,0.2583,0.8658
89,ICE,ICE,US Equity,20.7,2005-11-16,0.1623,993,ROBUST,0.029,0.6441,0.062,0.6692,0.2556,0.712
90,CASY,CASY,US Equity,26.5,2000-01-03,0.1882,1140,ROBUST,0.0243,0.6501,0.0768,0.8137,0.2483,0.8325
91,MO,MO,US Equity,26.5,2000-01-03,0.1665,1140,ROBUST,0.0208,0.6713,0.0632,0.8024,0.2482,0.9561
92,RTX,RTX,US Equity,26.5,2000-01-03,0.119,1140,ROBUST,0.023,0.6786,0.0694,0.816,0.2467,0.9211
93,GNRC,GNRC,US Equity,16.5,2010-02-11,0.216,492,THIN,0.0048,0.5138,0.1089,0.6608,0.2454,0.75
94,SEB-A.ST,SEB A,Swedish,26.8,2000-01-03,0.1104,1138,ROBUST,0.026,0.6805,0.0566,0.7285,0.2423,0.7724
95,CHRW,CHRW,US Equity,26.5,2000-01-03,0.1282,1140,ROBUST,0.0163,0.5751,0.0524,0.6388,0.2414,0.9526
96,CCJ,CCJ,US Equity,26.5,2000-01-03,0.1606,1140,ROBUST,0.0121,0.5415,0.0869,0.6418,0.2389,0.7746
97,NEE,NEE,US Equity,26.5,2000-01-03,0.1469,1140,ROBUST,0.0196,0.6341,0.0654,0.6757,0.2388,0.9088
98,L,L,US Equity,26.5,2000-01-03,0.105,1140,ROBUST,0.0226,0.699,0.0605,0.8341,0.2388,0.8526
99,STT,STT,US Equity,26.5,2000-01-03,0.085,1140,ROBUST,0.0204,0.6567,0.0664,0.7391,0.2375,0.9386
100,UAL,UAL,US Equity,20.5,2006-02-06,0.071,936,MODERATE,0.0137,0.536,0.0482,0.5481,0.2345,0.688
101,SAND.ST,Sandvik,Swedish,26.8,2000-01-03,0.1091,1138,ROBUST,0.0252,0.6149,0.0822,0.6938,0.2343,0.7478
102,AEP,AEP,US Equity,26.5,2000-01-03,0.0997,1140,ROBUST,0.0162,0.6356,0.0596,0.7308,0.233,0.8053
103,JPM,JPM,US Equity,26.5,2000-01-03,0.1091,1140,ROBUST,0.0178,0.6312,0.0527,0.7745,0.2329,0.7763
104,CRH,CRH,US Equity,26.5,2000-01-03,0.092,1140,ROBUST,0.0245,0.5991,0.0671,0.6516,0.231,0.793
105,STX,STX,US Equity,23.6,2002-12-11,0.2404,1140,ROBUST,0.0283,0.6071,0.1171,0.6923,0.2283,0.7491
106,PPL,PPL,US Equity,26.5,2000-01-03,0.0914,1140,ROBUST,0.0226,0.6764,0.0573,0.7896,0.2283,0.9553
107,DLR,DLR,US Equity,21.7,2004-10-29,0.1819,1121,ROBUST,0.0271,0.6341,0.0705,0.7261,0.2263,0.8617
108,SLB,SLB,US Equity,26.5,2000-01-03,0.044,1140,ROBUST,0.0214,0.5853,0.0233,0.5656,0.2261,0.6868
109,EVRG,EVRG,US Equity,26.5,2000-01-03,0.1119,1140,ROBUST,0.0158,0.6268,0.053,0.7398,0.2258,0.7851
110,SCHW,SCHW,US Equity,26.5,2000-01-03,0.0703,1140,ROBUST,0.0156,0.5933,0.0651,0.6817,0.2243,0.9614
111,CME,CME,US Equity,23.6,2002-12-06,0.193,1140,ROBUST,0.0165,0.6159,0.0569,0.7338,0.2239,0.8044
112,IBM,IBM,US Equity,26.5,2000-01-03,0.0548,1140,ROBUST,0.01,0.5525,0.0413,0.6199,0.2231,0.8281
113,ORCL,ORCL,US Equity,26.5,2000-01-03,0.0705,1140,ROBUST,0.0088,0.5379,0.0492,0.6222,0.2214,0.8842
114,ABBV,ABBV,US Equity,13.6,2013-01-02,0.2,492,THIN,0.0179,0.6395,0.05,0.6357,0.2209,0.9939
115,TKO,TKO,US Equity,26.5,2000-01-03,0.1337,1140,ROBUST,0.0142,0.5751,0.0439,0.6817,0.2202,0.8377
116,SWED-A.ST,Swedbank A,Swedish,26.8,2000-01-03,0.11,1138,ROBUST,0.0262,0.6805,0.0568,0.7195,0.22,0.7663
117,NTRS,NTRS,US Equity,26.5,2000-01-03,0.073,1140,ROBUST,0.0192,0.6283,0.0517,0.7956,0.2198,0.9772
118,WYNN,WYNN,US Equity,23.7,2002-10-25,0.1196,1140,ROBUST,-0.0042,0.4876,0.0064,0.5128,0.2193,0.7456
119,TRMB,TRMB,US Equity,26.5,2000-01-03,0.1049,1140,ROBUST,0.0175,0.5598,0.0436,0.6063,0.2192,0.793
120,TDY,TDY,US Equity,26.5,2000-01-03,0.1757,1140,ROBUST,0.0135,0.5641,0.0439,0.6523,0.2177,0.9518
121,ALB,ALB,US Equity,26.5,2000-01-03,0.1223,1140,ROBUST,0.0133,0.5547,0.0542,0.583,0.215,0.6281
122,J,J,US Equity,26.5,2000-01-03,0.1267,1140,ROBUST,0.0203,0.6071,0.0562,0.6244,0.2148,0.8781
123,NEM,NEM,US Equity,26.5,2000-01-03,0.0743,1140,ROBUST,0.0229,0.5787,0.0492,0.6124,0.2147,0.7404
124,TJX,TJX,US Equity,26.5,2000-01-03,0.1834,1140,ROBUST,0.0134,0.5984,0.0376,0.7051,0.2142,0.9114
125,WAB,WAB,US Equity,26.5,2000-01-03,0.1466,1140,ROBUST,0.0312,0.6465,0.0845,0.7066,0.213,0.9746
126,PANW,PANW,US Equity,14.0,2012-07-20,0.3026,492,THIN,0.0246,0.5994,0.048,0.6018,0.2105,0.813
127,VOLV-B.ST,Volvo B,Swedish,26.8,2000-01-03,0.1308,1138,ROBUST,0.0244,0.6134,0.0562,0.6704,0.2081,0.79
128,UNP,UNP,US Equity,26.5,2000-01-03,0.1553,1140,ROBUST,0.0165,0.5867,0.041,0.6644,0.2073,0.8474
129,NDAQ,NDAQ,US Equity,24.1,2002-07-01,0.1407,1140,ROBUST,0.0287,0.621,0.0594,0.6463,0.2062,0.7904
130,KEYS,KEYS,US Equity,11.8,2014-10-20,0.2344,492,THIN,0.0176,0.5898,0.0812,0.7065,0.2062,0.9065
131,EXC,EXC,US Equity,26.5,2000-01-03,0.0898,1140,ROBUST,0.018,0.6203,0.0427,0.6833,0.2051,0.9386
132,HCA,HCA,US Equity,15.4,2011-03-10,0.2057,492,THIN,0.015,0.5525,0.0773,0.7271,0.2046,0.9614
133,CRM,CRM,US Equity,22.1,2004-06-23,0.1871,1123,ROBUST,0.0008,0.507,0.0118,0.5187,0.2037,0.707
134,HPE,HPE,US Equity,10.8,2015-10-19,0.2023,492,THIN,0.0219,0.5843,0.0639,0.6268,0.2022,0.8333
135,LMT,LMT,US Equity,26.5,2000-01-03,0.164,1140,ROBUST,0.0162,0.6144,0.0502,0.6599,0.2018,0.8982
136,TPL,TPL,US Equity,26.5,2000-01-03,0.2675,1140,ROBUST,0.0056,0.5219,0.0346,0.5603,0.2016,0.6561
137,CNP,CNP,US Equity,26.5,2000-01-03,0.0794,1140,ROBUST,0.0175,0.6312,0.0455,0.6863,0.2015,0.8158
138,UBER,UBER,US Equity,7.2,2019-05-10,0.0758,492,THIN,-0.0012,0.4959,0.0435,0.6224,0.1997,0.6931
139,GD,GD,US Equity,26.5,2000-01-03,0.1326,1140,ROBUST,0.0185,0.6596,0.0512,0.8017,0.1996,0.8772
140,MOS,MOS,US Equity,26.5,2000-01-03,0.027,1140,ROBUST,0.0129,0.5437,0.0169,0.5385,0.199,0.6447
141,AIZ,AIZ,US Equity,22.5,2004-02-05,0.1365,1140,ROBUST,0.0176,0.6509,0.0616,0.7202,0.1989,0.9509
142,CAT,CAT,US Equity,26.5,2000-01-03,0.1726,1140,ROBUST,0.022,0.6071,0.0755,0.6395,0.1981,0.8088
143,AME,AME,US Equity,26.5,2000-01-03,0.1931,1140,ROBUST,0.0173,0.6137,0.0489,0.7232,0.1967,0.9272
144,LNT,LNT,US Equity,26.5,2000-01-03,0.1087,1140,ROBUST,0.0156,0.6443,0.0535,0.7504,0.1966,0.8474
145,EQIX,EQIX,US Equity,25.9,2000-08-11,0.0484,1140,ROBUST,0.0238,0.6195,0.055,0.6478,0.1954,0.7614
146,MLM,MLM,US Equity,26.5,2000-01-03,0.1159,1140,ROBUST,0.0211,0.6312,0.055,0.595,0.1941,0.7307
147,EMR,EMR,US Equity,26.5,2000-01-03,0.0951,1140,ROBUST,0.0187,0.6254,0.0335,0.6425,0.1941,0.9386
148,CVX,CVX,US Equity,26.5,2000-01-03,0.0987,1140,ROBUST,0.0178,0.613,0.0398,0.6644,0.1936,0.8254
149,PCAR,PCAR,US Equity,26.5,2000-01-03,0.1639,1140,ROBUST,0.0194,0.6312,0.0491,0.6463,0.1929,0.7026
150,JCI,JCI,US Equity,26.5,2000-01-03,0.0543,1140,ROBUST,0.0129,0.5765,0.04,0.6682,0.1919,0.6175
151,WMT,WMT,US Equity,26.5,2000-01-03,0.0811,1140,ROBUST,0.0079,0.5598,0.0238,0.6456,0.1907,0.7991
152,TDG,TDG,US Equity,20.4,2006-03-15,0.2765,909,MODERATE,0.0185,0.6205,0.0601,0.6858,0.1904,0.7701
153,FE,FE,US Equity,26.5,2000-01-03,0.076,1140,ROBUST,0.0174,0.6443,0.056,0.7647,0.1891,0.9781
154,BRK_B,BRK_B,US Equity,26.5,2000-01-03,0.107,1140,ROBUST,0.0077,0.5794,0.0259,0.6976,0.1888,0.8877
155,ATO,ATO,US Equity,26.5,2000-01-03,0.1246,1140,ROBUST,0.0089,0.5977,0.0301,0.7014,0.1888,0.7675
156,LVS,LVS,US Equity,21.6,2004-12-15,0.0212,1113,ROBUST,-0.0028,0.4855,-0.0032,0.4958,0.1878,0.6424
157,SNA,SNA,US Equity,26.5,2000-01-03,0.1373,1140,ROBUST,0.0137,0.5984,0.0436,0.7157,0.1875,0.9263
158,CTVA,CTVA,US Equity,7.2,2019-05-24,0.1595,492,THIN,0.0143,0.5925,0.0527,0.6519,0.1872,0.9797
159,EXI2.DE,iSh STOXX 600 Tech,UCITS ETF,18.7,2008-01-02,0.1028,493,THIN,0.0183,0.6985,0.0633,0.7824,0.1867,0.9838
160,HII,HII,US Equity,15.3,2011-03-22,0.1679,492,THIN,0.0261,0.6022,0.0958,0.674,0.1865,0.6626
161,LHX,LHX,US Equity,26.5,2000-01-03,0.1464,1140,ROBUST,0.0195,0.6246,0.0665,0.7398,0.1865,0.8781
162,AMP,AMP,US Equity,20.9,2005-09-15,0.1616,1031,ROBUST,0.0218,0.6152,0.0413,0.6459,0.1857,0.6198
163,GE,GE,US Equity,26.5,2000-01-03,0.0408,1140,ROBUST,0.0151,0.6152,0.0559,0.7376,0.1847,0.7947
164,XOM,XOM,US Equity,26.5,2000-01-03,0.0867,1140,ROBUST,0.0143,0.6071,0.0378,0.7074,0.1834,0.8456
165,MCD,MCD,US Equity,26.5,2000-01-03,0.1024,1140,ROBUST,0.0113,0.5926,0.0304,0.6448,0.1819,0.8956
166,MCK,MCK,US Equity,26.5,2000-01-03,0.1546,1140,ROBUST,0.0178,0.6224,0.0686,0.6878,0.1818,0.843
167,EXXT.DE,iSh NASDAQ-100,UCITS ETF,18.7,2008-01-02,0.1475,491,THIN,0.0151,0.6625,0.0639,0.7559,0.1817,0.9674
168,TEL,TEL,US Equity,19.1,2007-06-14,0.1153,579,THIN,0.0051,0.5314,0.028,0.5935,0.1813,0.8446
169,ALLE,ALLE,US Equity,12.7,2013-11-18,0.1149,492,THIN,0.0039,0.5124,0.0164,0.5251,0.1802,0.8008
170,DVN,DVN,US Equity,26.5,2000-01-03,0.0582,1140,ROBUST,0.0118,0.5561,0.0241,0.5754,0.1799,0.6904
171,V,V,US Equity,18.4,2008-03-19,0.2032,492,THIN,0.0077,0.5442,0.0234,0.615,0.1797,0.7541
172,LIN,LIN,US Equity,26.5,2000-01-03,0.139,1140,ROBUST,0.0181,0.6472,0.0537,0.773,0.1789,0.9088
173,INVE-B.ST,Investor B,Swedish,26.8,2000-01-03,0.1375,1138,ROBUST,0.0199,0.6594,0.065,0.773,0.1786,0.7487
174,NI,NI,US Equity,26.5,2000-01-03,0.1159,1140,ROBUST,0.011,0.5897,0.0346,0.6735,0.1775,0.6167
175,BKR,BKR,US Equity,26.5,2000-01-03,0.0759,1140,ROBUST,0.0154,0.5656,0.0633,0.6463,0.1759,0.8412
176,HM-B.ST,H&M B,Swedish,26.8,2000-01-03,0.0418,1138,ROBUST,0.0097,0.558,0.0265,0.5882,0.1759,0.6643
177,LRCX,LRCX,US Equity,26.5,2000-01-03,0.1878,1140,ROBUST,0.0302,0.5904,0.0931,0.7097,0.1753,0.65
178,EBAY,EBAY,US Equity,26.5,2000-01-03,0.1121,1140,ROBUST,0.0122,0.5466,0.0513,0.6471,0.1753,0.5895
179,EXE,EXE,US Equity,5.5,2021-02-10,0.1909,492,THIN,-0.0024,0.489,-0.0164,0.4617,0.1749,0.7195
180,AXON,AXON,US Equity,25.1,2001-06-19,0.3238,1140,ROBUST,0.0167,0.5634,0.0537,0.552,0.1735,0.5719
181,ETN,ETN,US Equity,26.5,2000-01-03,0.1713,1140,ROBUST,0.0238,0.6006,0.0612,0.6795,0.1722,0.7632
182,TRV,TRV,US Equity,26.5,2000-01-03,0.1242,1140,ROBUST,0.0162,0.6093,0.0409,0.7202,0.1719,0.8026
183,TROW,TROW,US Equity,26.5,2000-01-03,0.103,1140,ROBUST,0.0126,0.5765,0.0359,0.6433,0.1718,0.7544
184,KR,KR,US Equity,26.5,2000-01-03,0.0849,1140,ROBUST,0.0046,0.5328,0.0339,0.6237,0.1711,0.8211
185,DDOG,DDOG,US Equity,6.9,2019-09-19,0.3017,492,THIN,0.0136,0.5359,0.0604,0.6032,0.1703,0.7175
186,ROL,ROL,US Equity,26.5,2000-01-03,0.166,1140,ROBUST,0.0094,0.5809,0.037,0.7081,0.1701,0.8719
187,APD,APD,US Equity,26.5,2000-01-03,0.1159,1140,ROBUST,0.0142,0.5999,0.0502,0.6493,0.17,0.8307
188,OXY,OXY,US Equity,26.5,2000-01-03,0.0966,1140,ROBUST,0.0155,0.5787,0.0197,0.54,0.1699,0.643
189,AFL,AFL,US Equity,26.5,2000-01-03,0.1178,1140,ROBUST,0.0129,0.6101,0.0364,0.7225,0.1697,0.8842
190,NSC,NSC,US Equity,26.5,2000-01-03,0.1373,1140,ROBUST,0.0142,0.5678,0.0466,0.6463,0.1691,0.8754
191,NUE,NUE,US Equity,26.5,2000-01-03,0.1486,1140,ROBUST,0.0274,0.5904,0.0562,0.6146,0.1691,0.6982
192,TMO,TMO,US Equity,26.5,2000-01-03,0.1566,1140,ROBUST,0.0125,0.5816,0.0544,0.6501,0.1688,0.7675
193,TXT,TXT,US Equity,26.5,2000-01-03,0.0432,1140,ROBUST,0.0152,0.586,0.0328,0.6538,0.168,0.7351
194,SRE,SRE,US Equity,26.5,2000-01-03,0.1269,1140,ROBUST,0.0159,0.6246,0.0541,0.6878,0.168,0.8439
195,KO,KO,US Equity,26.5,2000-01-03,0.0729,1140,ROBUST,0.0113,0.6436,0.0451,0.7783,0.1679,0.9289
196,SPG,SPG,US Equity,26.5,2000-01-03,0.1448,1140,ROBUST,0.0245,0.6662,0.0712,0.7474,0.1666,0.8377
197,HPQ,HPQ,US Equity,26.5,2000-01-03,0.0344,1140,ROBUST,0.0158,0.5816,0.0592,0.6433,0.1651,0.6588
198,NOC,NOC,US Equity,26.5,2000-01-03,0.1501,1140,ROBUST,0.0145,0.6108,0.0317,0.6599,0.162,0.8886
199,TTWO,TTWO,US Equity,26.5,2000-01-03,0.1298,1140,ROBUST,0.0025,0.5095,0.0307,0.5792,0.1619,0.7088
200,APO,APO,US Equity,15.3,2011-03-30,0.2083,492,THIN,0.0134,0.558,0.0357,0.6018,0.1608,0.5813
201,EMIM.L,iSh Core MSCI EM,UCITS ETF,12.2,2014-06-09,0.0832,491,THIN,0.0133,0.6528,0.0447,0.8233,0.1605,0.9796
202,SHB-A.ST,Handelsbanken A,Swedish,26.8,2000-01-03,0.1144,1138,ROBUST,0.0194,0.6302,0.0503,0.6983,0.1598,0.8005
203,CVS,CVS,US Equity,26.5,2000-01-03,0.0821,1140,ROBUST,0.0231,0.6115,0.0517,0.6644,0.1596,0.8149
204,COR,COR,US Equity,26.5,2000-01-03,0.2015,1140,ROBUST,0.0206,0.6232,0.0391,0.6425,0.1594,0.7658
205,VZ,VZ,US Equity,26.5,2000-01-03,0.0437,1140,ROBUST,0.0088,0.5634,0.0408,0.7021,0.1583,0.8237
206,AMZN,AMZN,US Equity,26.5,2000-01-03,0.1675,1140,ROBUST,0.0189,0.5824,0.0462,0.6041,0.1579,0.7763
207,D,D,US Equity,26.5,2000-01-03,0.0929,1140,ROBUST,0.0178,0.6334,0.0405,0.7519,0.1578,0.9061
208,ES,ES,US Equity,26.5,2000-01-03,0.0835,1140,ROBUST,0.0146,0.6173,0.0492,0.7051,0.1569,0.8254
209,BAC,BAC,US Equity,26.5,2000-01-03,0.0635,1140,ROBUST,0.0108,0.6042,0.0393,0.6765,0.156,0.7447
210,AZO,AZO,US Equity,26.5,2000-01-03,0.1897,1140,ROBUST,0.0144,0.5671,0.036,0.6041,0.1556,0.7018
211,HIG,HIG,US Equity,26.5,2000-01-03,0.067,1140,ROBUST,0.0133,0.5911,0.0445,0.7187,0.1547,0.8018
212,C,C,US Equity,26.5,2000-01-03,-0.0161,1140,ROBUST,0.0172,0.6086,0.0459,0.6772,0.154,0.7386
213,XEL,XEL,US Equity,26.5,2000-01-03,0.0977,1140,ROBUST,0.013,0.6254,0.0456,0.6983,0.1535,0.864
214,BA,BA,US Equity,26.5,2000-01-03,0.0861,1140,ROBUST,0.0087,0.5423,0.0358,0.6169,0.1534,0.6412
215,BEN,BEN,US Equity,26.5,2000-01-03,0.0745,1140,ROBUST,0.0131,0.559,0.0487,0.5935,0.1531,0.636
216,PODD,PODD,US Equity,19.2,2007-05-15,0.1195,601,THIN,-0.0111,0.4502,0.0602,0.587,0.1529,0.6589
217,MTD,MTD,US Equity,26.5,2000-01-03,0.1493,1140,ROBUST,0.0161,0.5918,0.0591,0.6448,0.1524,0.7939
218,URI,URI,US Equity,26.5,2000-01-03,0.175,1140,ROBUST,0.0243,0.5882,0.0725,0.6244,0.1522,0.6526
219,IDXX,IDXX,US Equity,26.5,2000-01-03,0.2069,1140,ROBUST,0.0096,0.5714,0.0414,0.6048,0.1521,0.8263
220,MAR,MAR,US Equity,26.5,2000-01-03,0.1399,1140,ROBUST,0.0141,0.5853,0.0346,0.6214,0.1514,0.7412
221,COST,COST,US Equity,26.5,2000-01-03,0.1395,1140,ROBUST,0.0107,0.5904,0.0498,0.7044,0.1513,0.8509
222,TYL,TYL,US Equity,26.5,2000-01-03,0.1607,1140,ROBUST,0.0028,0.5211,0.0255,0.5656,0.1511,0.7167
223,REG,REG,US Equity,26.5,2000-01-03,0.1018,1140,ROBUST,0.0115,0.5838,0.0278,0.6531,0.151,0.7544
224,QQQ,QQQ,US Equity,26.5,2000-01-03,0.0861,1140,ROBUST,0.0132,0.6195,0.0445,0.724,0.1507,0.8798
225,EXSA.DE,iSh STOXX Europe 600,UCITS ETF,18.7,2008-01-02,0.0544,492,THIN,0.0141,0.6625,0.0379,0.8515,0.1502,0.9919
226,NWS,NWS,US Equity,13.1,2013-06-19,0.0719,492,THIN,0.0153,0.5677,0.0263,0.618,0.1498,0.6301
227,KIM,KIM,US Equity,26.5,2000-01-03,0.0814,1140,ROBUST,0.0152,0.5948,0.0649,0.6584,0.1498,0.6965
228,FAST,FAST,US Equity,26.5,2000-01-03,0.1692,1140,ROBUST,0.0134,0.5751,0.0615,0.6501,0.1492,0.8237
229,MET,MET,US Equity,26.3,2000-04-05,0.1036,1140,ROBUST,0.0142,0.5845,0.0373,0.7187,0.1476,0.7298
230,PNC,PNC,US Equity,26.5,2000-01-03,0.103,1140,ROBUST,0.0149,0.6137,0.0428,0.6742,0.147,0.7939
231,PEG,PEG,US Equity,26.5,2000-01-03,0.1008,1140,ROBUST,0.0136,0.6079,0.0309,0.6493,0.1469,0.8079
232,WEC,WEC,US Equity,26.5,2000-01-03,0.1317,1140,ROBUST,0.0127,0.6173,0.0357,0.7089,0.1463,0.9018
233,OKE,OKE,US Equity,26.5,2000-01-03,0.1639,1140,ROBUST,0.0173,0.6217,0.0687,0.6998,0.145,0.7851
234,YUM,YUM,US Equity,26.5,2000-01-03,0.1421,1140,ROBUST,0.0053,0.5474,0.0232,0.644,0.145,0.9
235,NDSN,NDSN,US Equity,26.5,2000-01-03,0.1446,1140,ROBUST,0.0224,0.613,0.0554,0.6531,0.1441,0.6737
236,MPC,MPC,US Equity,15.1,2011-06-24,0.2364,492,THIN,0.0222,0.5898,0.0588,0.646,0.1439,0.7297
237,SXRJ.DE,iSh Core MSCI Japan,UCITS ETF,16.5,2009-11-27,0.0997,491,THIN,0.0118,0.6528,0.0362,0.7632,0.1433,0.9878
238,SPY,SPY,US Equity,26.5,2000-01-03,0.0837,1140,ROBUST,0.0137,0.6924,0.0403,0.7624,0.1432,0.8289
239,RSG,RSG,US Equity,26.5,2000-01-03,0.1439,1140,ROBUST,0.0148,0.6268,0.0396,0.7029,0.1427,0.8114
240,DTE,DTE,US Equity,26.5,2000-01-03,0.1115,1140,ROBUST,0.0096,0.5875,0.0333,0.6802,0.142,0.736
241,AXP,AXP,US Equity,26.5,2000-01-03,0.0932,1140,ROBUST,0.0139,0.5969,0.0408,0.6591,0.1417,0.7895
242,LH,LH,US Equity,26.5,2000-01-03,0.152,1140,ROBUST,0.0177,0.6224,0.046,0.6712,0.1412,0.8719
243,NOVO-B.CO,Novo Nordisk B,UCITS ETF,25.6,2001-01-08,0.1361,1137,ROBUST,0.0226,0.6093,0.0445,0.6091,0.1407,0.613
244,SBAC,SBAC,US Equity,26.5,2000-01-03,0.095,1140,ROBUST,0.012,0.551,0.0575,0.6516,0.1407,0.6868
245,VRSN,VRSN,US Equity,26.5,2000-01-03,0.0232,1140,ROBUST,0.0078,0.5372,0.0308,0.6094,0.14,0.7237
246,MRK,MRK,US Equity,26.5,2000-01-03,0.0638,1140,ROBUST,0.0147,0.5991,0.0461,0.6418,0.1391,0.664
247,EUNL.DE,iSh MSCI World,UCITS ETF,17.0,2009-09-25,0.1255,491,THIN,0.0163,0.7248,0.0509,0.8176,0.1379,0.9857
248,PSX,PSX,US Equity,14.3,2012-04-12,0.1725,492,THIN,0.0262,0.6271,0.0457,0.618,0.137,0.6504
249,PFG,PFG,US Equity,24.7,2001-10-23,0.1005,1140,ROBUST,0.0218,0.6312,0.0428,0.7119,0.1368,0.7667
250,SKF-B.ST,SKF B,Swedish,26.8,2000-01-03,0.0956,1138,ROBUST,0.0225,0.6207,0.0563,0.6395,0.1367,0.7381
251,CPRT,CPRT,US Equity,26.5,2000-01-03,0.1442,1140,ROBUST,-0.0019,0.4854,0.0007,0.5023,0.1364,0.6868
252,HON,HON,US Equity,26.5,2000-01-03,0.0843,1140,ROBUST,0.0099,0.5802,0.0383,0.644,0.1356,0.8614
253,O,O,US Equity,26.5,2000-01-03,0.1322,1140,ROBUST,0.0159,0.6108,0.0369,0.6765,0.1354,0.8009
254,FRT,FRT,US Equity,26.5,2000-01-03,0.1171,1140,ROBUST,0.0164,0.6239,0.0554,0.7089,0.1347,0.6605
255,DOC,DOC,US Equity,26.5,2000-01-03,0.0891,1140,ROBUST,0.0125,0.5794,0.0341,0.6018,0.1339,0.6965
256,ROST,ROST,US Equity,26.5,2000-01-03,0.2078,1140,ROBUST,0.0114,0.5452,0.0364,0.6214,0.1337,0.7351
257,DUK,DUK,US Equity,26.5,2000-01-03,0.0896,1140,ROBUST,0.0171,0.6501,0.0506,0.7526,0.133,0.8711
258,SXR8.DE,iSh Core S&P 500,UCITS ETF,16.3,2010-05-19,0.1339,491,THIN,0.015,0.7082,0.0561,0.7912,0.1329,0.9817
259,ARES,ARES,US Equity,12.2,2014-05-02,0.229,492,THIN,0.0262,0.6243,0.0777,0.6637,0.1322,0.561
260,ABT,ABT,US Equity,26.5,2000-01-03,0.1028,1140,ROBUST,0.0049,0.5321,0.013,0.5686,0.1311,0.7772
261,WFC,WFC,US Equity,26.5,2000-01-03,0.0871,1140,ROBUST,0.0075,0.5722,0.0325,0.6848,0.1309,0.7728
262,USB,USB,US Equity,26.5,2000-01-03,0.0787,1140,ROBUST,0.0073,0.562,0.0347,0.6938,0.1306,0.8272
263,IRM,IRM,US Equity,26.5,2000-01-03,0.1393,1140,ROBUST,0.0166,0.5831,0.0601,0.6373,0.1302,0.7351
264,KKR,KKR,US Equity,16.0,2010-07-15,0.1964,492,THIN,0.0199,0.5829,0.0727,0.6283,0.1297,0.5549
265,CL,CL,US Equity,26.5,2000-01-03,0.0648,1140,ROBUST,0.0137,0.6239,0.0384,0.7006,0.1294,0.7772
266,JBHT,JBHT,US Equity,26.5,2000-01-03,0.1899,1140,ROBUST,0.0111,0.5488,0.0462,0.6199,0.1288,0.714
267,LYV,LYV,US Equity,20.6,2005-12-21,0.1468,969,MODERATE,0.0206,0.6053,0.0513,0.6468,0.1284,0.6718
268,REGN,REGN,US Equity,26.5,2000-01-03,0.1691,1140,ROBUST,0.0088,0.5372,0.0239,0.5468,0.1276,0.6404
269,VMC,VMC,US Equity,26.5,2000-01-03,0.0922,1140,ROBUST,0.0096,0.562,0.0246,0.5777,0.1274,0.7342
270,GDDY,GDDY,US Equity,11.3,2015-03-31,0.1424,492,THIN,0.0098,0.558,0.0254,0.5251,0.1269,0.5122
271,MTB,MTB,US Equity,26.5,2000-01-03,0.0993,1140,ROBUST,0.0084,0.5707,0.0293,0.638,0.1258,0.6158
