signal,type,active,diversity,n_21d,med_21d,wr_21d,lift_21d,n_63d,med_63d,wr_63d,lift_63d,n_252d,med_252d,wr_252d,lift_252d,confidence
gold_dd_20d=SMALL  (p33=-3.1% p67=-0.9%),drawdown,False,ROBUST,2154,0.0083,0.5617,0.0002,2152,0.0239,0.6343,-0.004,2085,0.1196,0.7568,0.0062,0.5538
gold_dd_20d=MID  (p33=-3.1% p67=-0.9%),drawdown,False,ROBUST,2160,0.0042,0.5435,-0.0039,2154,0.0309,0.6448,0.003,2096,0.1154,0.7338,0.002,0.5534
breakeven=HIGH,macro_single,False,ROBUST,1917,0.0063,0.5566,-0.0018,1880,0.0223,0.6032,-0.0056,1791,0.1158,0.7856,0.0024,0.5518
gold_mom21d=LOW + baa10y=WIDE,macro_x_momentum,False,ROBUST,794,0.0089,0.5793,0.0008,794,0.0317,0.6436,0.0038,794,0.1045,0.7217,-0.0089,0.5487
t10y2y=HIGH,macro_single,False,ROBUST,2306,0.0068,0.5499,-0.0013,2306,0.0253,0.6409,-0.0026,2306,0.1074,0.7199,-0.006,0.5426
GSR=MID,gsr,True,ROBUST,2153,0.0063,0.5518,-0.0018,2139,0.0194,0.6265,-0.0085,2107,0.1009,0.7333,-0.0125,0.5383
gold_dd_60d=DEEP  (p33=-5.3% p67=-2.0%),drawdown,True,ROBUST,2126,0.0096,0.5875,0.0015,2084,0.0218,0.631,-0.0061,2045,0.0928,0.7232,-0.0206,0.5376
gold_dd_40d=DEEP  (p33=-4.4% p67=-1.6%),drawdown,True,ROBUST,2130,0.01,0.5925,0.0019,2090,0.0226,0.6282,-0.0053,2038,0.0936,0.7233,-0.0198,0.5371
baa10y=WIDE,macro_single,False,ROBUST,2285,0.0094,0.5659,0.0013,2285,0.0241,0.6109,-0.0038,2285,0.1021,0.7309,-0.0113,0.5342
gold_dd60=DEEP + baa10y=WIDE,macro_x_drawdown,False,ROBUST,855,0.0121,0.6047,0.004,855,0.0263,0.6152,-0.0016,855,0.1019,0.7064,-0.0115,0.5276
