,Base80%+Rot20%(n=1),Base80%+Rot20%(n=2),Base80%+Rot20%(n=3),Base70%+Rot30%(n=1),Base70%+Rot30%(n=2),Base70%+Rot30%(n=3),Base60%+Rot40%(n=1),Base60%+Rot40%(n=2),Base60%+Rot40%(n=3),Base50%+Rot50%(n=1),Base50%+Rot50%(n=2),Base50%+Rot50%(n=3)
2004-01-05,0.9929526915649735,0.9943760194856315,0.9982077735996961,0.9929526915649735,0.9950647265440143,1.0005036832265166,0.9929526915649735,0.9957387802607295,1.0026142088462027,0.9929526915649735,0.9963986433728822,1.0045609324774951
2004-01-06,0.9904956431322117,0.995328912096195,0.9938033392350869,0.9904956431322117,0.9976710987535765,0.9952420562427483,0.9904956431322117,0.9999656670603296,0.9965611741404036,0.9904956431322117,1.0022140515300124,0.9977750001586156
2004-01-07,0.9873784442543605,0.9906506651538824,0.9853139365948936,0.9873784442543605,0.9922320971580696,0.9843944409499111,0.9873784442543605,0.9937786746383732,0.983539822556043,0.9873784442543605,0.9952915312944002,0.9827435957886915
2004-01-08,0.9792981688421588,0.9846505412304138,0.9815095126376676,0.9792981688421588,0.9872435045724429,0.9824525399855186,0.9792981688421588,0.9897832480714237,0.983306993217865,0.9792981688421588,0.9922713832694019,0.9840845522099058
2004-01-09,0.9790542568375818,0.9921168428527255,0.9808768571610855,0.9790542568375818,0.9984706876104841,0.9816495149578266,0.9790542568375818,1.0047103528052468,0.9823470798312641,0.9790542568375818,1.0108388001325073,0.9829796980893126
2004-01-12,0.9869751874519046,1.0023894850553732,0.9866337351028989,0.9869751874519046,1.0099028681648277,0.9864582757476273,0.9869751874519046,1.0172911429446252,0.9862829056919171,0.9869751874519046,1.024557251743663,0.98610920133664
2004-01-13,0.9821652230091777,0.9979725186485503,0.9827368432106621,0.9821652230091777,1.005681001343264,0.982960194233024,0.9821652230091777,1.0132633750475035,0.9831513522415756,0.9821652230091777,1.0207225370799233,0.9833156474695284
2004-01-14,0.9834076913365906,0.99352606798259,0.9775065481554789,0.9834076913365906,0.9984164900859435,0.9748998454254281,0.9834076913365906,1.0031990637397137,0.9724884828443652,0.9834076913365906,1.0078771160547408,0.9702515072136991
2004-01-15,0.9681346145525597,0.9741521232224117,0.9577552792592358,0.9681346145525597,0.9770295357162824,0.9532100384307187,0.9681346145525597,0.9798238275829316,0.9490264241789984,0.9681346145525597,0.9825381361670644,0.9451631028500177
2004-01-16,0.9693003488690528,0.9790632372552532,0.9594143026757805,0.9693003488690528,0.9837692732158285,0.9550811147538446,0.9693003488690528,0.9883634375775024,0.9510905692432015,0.9693003488690528,0.9928493420424426,0.9474037484031035
2004-01-20,0.9753386641337872,0.9836008076627866,0.9700632320800975,0.9753386641337872,0.9875694271630612,0.9677139814093462,0.9753386641337872,0.9914347946668712,0.9655308040349996,0.9753386641337872,0.9952004954170761,0.9634971369684703
2004-01-21,0.9797632311551839,0.9831989300730867,0.9694252414308926,0.9797632311551839,0.9848029198997698,0.9648815254649837,0.9797632311551839,0.9863356757432327,0.9606905996122133,0.9797632311551839,0.9878004719900887,0.956813223035981
2004-01-22,0.9792294701604654,0.9876750564830696,0.9696610959876575,0.9792294701604654,0.9917153496115699,0.9654484893628931,0.9792294701604654,0.9956398841845158,0.9615591644735393,0.9792294701604654,0.9994528530163574,0.9579576149666857
2004-01-23,0.9673032486500449,0.9787011150624807,0.9600361789568762,0.9673032486500449,0.9841890394479739,0.9568157510606874,0.9673032486500449,0.9895422983717264,0.953831310532273,0.9673032486500449,0.9947651864180427,0.9510582763895699
2004-01-26,0.9620627322946345,0.9729445126428984,0.953347717975572,0.9620627322946345,0.9781790848281923,0.9495021083019719,0.9620627322946345,0.9832821079554952,0.9459470109606736,0.9620627322946345,0.9882578639532774,0.9426510811846697
2004-01-27,0.9638011679130132,0.9824695926628679,0.9553006868321892,0.9638011679130132,0.9915338474579661,0.9515474017235266,0.9638011679130132,1.0004238768229121,0.9480764131359446,0.9638011679130132,1.0091438678664064,0.9448574135252686
2004-01-28,0.9601034822470405,0.9819652694131358,0.9440592658829418,0.9601034822470405,0.9926192783065442,0.9370530972115195,0.9601034822470405,1.0030935141973625,0.9306152069881849,0.9601034822470405,1.0133915370491977,0.9246795480816473
2004-01-29,0.9489510710927336,0.960181976356723,0.9282593342838594,0.9489510710927336,0.9655240667422514,0.9192742024293211,0.9489510710927336,0.9706923864525976,0.9110447388681704,0.9489510710927336,0.9756929990599942,0.9034799701504205
2004-01-30,0.9516263226724715,0.9629709571878908,0.932623281151413,0.9516263226724715,0.9683684954008414,0.9243517851856327,0.9516263226724715,0.9735913315448175,0.9167654894927603,0.9516263226724715,0.9786455399083464,0.9097831226463717
2004-02-02,0.95330390211441,0.9573951865659561,0.9279441389389061,0.95330390211441,0.9592223833206874,0.9169760712851037,0.95330390211441,0.9609134197308592,0.9069539816759804,0.95330390211441,0.9624749596753551,0.8977612967550216
2004-02-03,0.9561156917565663,0.962396295626368,0.9284005519915495,0.9561156917565663,0.9652885567464053,0.9164424976942329,0.9561156917565663,0.9680251704112154,0.9055310412247758,0.9561156917565663,0.9706130097408184,0.8955354277772634
2004-02-04,0.9652461050953514,0.9704091035829243,0.9355059384193538,0.9652461050953514,0.9727539352580622,0.9226971808744677,0.9652461050953514,0.9749507773499666,0.9110216800225973,0.9652461050953514,0.9770065361401508,0.9003364247941427
2004-02-05,0.9671490495320706,0.9710480744197628,0.9379883499450478,0.9671490495320706,0.972776435050155,0.9254205676757562,0.9671490495320706,0.974367096186374,0.9139601695284055,0.9671490495320706,0.9758269038702511,0.9034679436354283
