dataset,band,cagr,sharpe,maxdd,calmar,years,trades_per_yr
NORMAL,0.0,0.11787509716494582,0.6562924167772884,-0.2620473984190076,0.4498235734302782,17.021218343600275,251.3
NORMAL,0.03,0.2744567086358618,1.3102391813430379,-0.24152830485748467,1.1363335191616848,17.021218343600275,7.6
NORMAL,0.05,0.29031912748496347,1.3690642942399716,-0.23789278821056303,1.2203780100639157,17.021218343600275,3.1
NORMAL,0.08,0.29721655475465125,1.3789485574274076,-0.22360553744411316,1.3292003326569497,17.021218343600275,1.3
NORMAL,0.1,0.30292521243124804,1.3954861091120574,-0.2337296366566609,1.2960496442144926,17.021218343600275,1.0
NORMAL,0.15,0.31010340166303574,1.393224359534864,-0.22422003742482277,1.3830316202984678,17.021218343600275,0.5
NORMAL,1.0,0.3466309523870539,1.159426094510161,-0.38517180420571184,0.8999385432738629,17.021218343600275,0.0
STRESS,0.0,-0.015523121056034594,0.020584219008994292,-0.8629933188696995,-0.01798753329442447,25.95482546201232,250.7
STRESS,0.03,0.10875432924466422,0.621299925394963,-0.4848580191619136,0.22430139328756107,25.95482546201232,7.7
STRESS,0.05,0.1202014164410814,0.674148035774155,-0.4573699010365585,0.2628100716043259,25.95482546201232,2.6
STRESS,0.08,0.12431745009597828,0.6966228674087495,-0.4423783421115811,0.28102065192111436,25.95482546201232,1.0
STRESS,0.1,0.12873573941868144,0.713909312583241,-0.43808763960222497,0.29385841503214055,25.95482546201232,0.8
STRESS,0.15,0.1345527849962198,0.7471183124765137,-0.4398921485867716,0.30587675962958993,25.95482546201232,0.4
STRESS,1.0,0.11757369679813934,0.7367216664109224,-0.3591716522763223,0.3273468160780298,25.95482546201232,0.0
