ticker,date,gap,return,stopped,days_to_stop
A,2000-08-18,0.2419352487642965,0.025974326698949366,False,
ACGL,2001-10-24,0.22018314721111043,0.08082742719941723,False,
ADBE,2024-06-14,0.15588353160379542,0.09069311995373644,False,
ADSK,2003-11-21,0.17010321687038754,0.08590296245241882,False,
AES,2002-08-08,0.21666682241404245,0.4566208521579669,False,
AES,2025-07-09,0.15266490280767897,0.02507841828180032,False,
AIG,2008-09-18,0.17073205204843278,0.37916657095655004,True,4.0
AIG,2008-10-28,0.22222255592829865,0.2484849414471093,True,6.0
AIG,2009-02-26,0.23913059794697955,1.8421060315281546,False,
AIG,2009-05-07,0.15217453370868217,-0.21226423578181056,False,
AIG,2009-08-06,0.22181834218714513,0.7797615984156829,False,
AJG,2001-09-17,0.18050270345053687,0.2066764602384201,False,
AJG,2009-04-29,0.1548552651033197,-0.073181811974427,False,
AKAM,2000-10-19,0.18885448916408665,0.049479166666666664,True,4.0
AKAM,2000-12-08,0.15629900679560893,-0.009041591320072333,True,3.0
AKAM,2001-04-19,0.22234515900040153,-0.13393669415061063,False,
AKAM,2002-08-23,0.252525250092658,-0.25806450837608685,False,
AKAM,2003-10-30,0.2667785473844122,0.4887416539289044,False,
AKAM,2006-07-27,0.19900004069010424,0.09897129379425028,False,
AKAM,2011-10-27,0.15222871435481933,0.02664231943064111,False,
AKAM,2012-07-26,0.1840708234668833,0.13034381198526535,False,
AKAM,2013-04-25,0.1706843951612007,0.11076923799232619,False,
AKAM,2014-02-06,0.1596373640199542,0.1409347111010323,False,
AKAM,2016-02-10,0.18751584637017626,0.19621189777975534,False,
AKAM,2026-05-08,0.24646494048431644,-0.028257137824582355,True,7.0
ALGN,2001-10-08,0.1594684453801647,0.38968478263022965,True,11.0
ALGN,2006-09-28,0.6653845453168294,0.0877598432185826,False,
ALGN,2007-04-26,0.25381569449214014,0.0018033817686367221,False,
ALGN,2008-04-30,0.18507751006717865,0.04251843640450265,False,
ALGN,2009-07-24,0.214587708751091,-0.11836376708168515,False,
ALGN,2009-10-23,0.1703510966231434,-0.12333334816826715,False,
ALGN,2010-07-23,0.1638570679485558,-0.015063744231403157,False,
ALGN,2011-10-28,0.206625514628058,0.04374130032895329,False,
ALGN,2012-04-24,0.19752186482528744,-0.04899575716515294,False,
ALGN,2013-10-18,0.1582843546583741,0.09473685795580558,False,
ALGN,2017-04-28,0.16404361353141672,-0.009728883866299425,False,
ALGN,2020-10-22,0.26357169354429755,0.004147763993372323,True,6.0
ALGN,2023-02-02,0.1910239672030818,-0.0922437103860977,False,
ALGN,2023-07-27,0.188259465410344,-0.13532921207847134,False,
AMCR,2016-03-10,0.2034481319411583,0.0,False,
AMD,2001-04-11,0.21951221257812348,0.26730772165151745,False,
AMD,2002-10-17,0.3954154361751758,0.40041074577529123,False,
AMD,2008-10-07,0.2458628740339397,-0.46110058359620454,False,
AMD,2009-11-12,0.24812023538187167,0.20933733349926884,False,
AMD,2016-04-22,0.21755732693085394,0.1504702227158342,False,
AMD,2025-10-06,0.37517458836619944,0.14669912531323642,False,
AMD,2026-05-06,0.15264870511186168,0.028083714557754828,True,8.0
AMGN,2001-01-22,0.1666663066012659,0.05982134461852422,False,
AMGN,2008-07-28,0.15114986174576894,0.039149538931223554,False,
AMGN,2009-07-08,0.153551776445777,0.049460664495231975,False,
AMP,2008-09-19,0.18609386980780696,-0.5391174718010144,False,
AMP,2008-11-24,0.1641065828712691,0.07222254427204938,True,4.0
AMT,2002-10-15,0.2352944938925814,0.47619003588600556,True,15.0
AMZN,2000-02-03,0.16831687519773086,-0.1563944728388271,False,
AMZN,2000-10-25,0.15010575905581325,-0.033088290464505295,True,3.0
AMZN,2001-03-05,0.23749995231628418,-0.11595957653776136,False,
AMZN,2001-04-09,0.4145758634661987,0.33277021040439336,False,
AMZN,2002-01-22,0.25393701572694316,0.11616954180311248,True,5.0
AMZN,2007-04-25,0.187039086262774,0.19013559249308196,False,
AMZN,2007-07-25,0.2225269848509699,-0.14505076124977526,False,
AMZN,2009-10-23,0.18833592561973256,0.1973886068848676,False,
AMZN,2015-07-24,0.20077564511368173,-0.08198756413529562,False,
ANET,2017-08-04,0.16348491879792726,0.036575115756483575,False,
ANET,2021-11-02,0.19827686270608158,0.0336207002412396,False,
AON,2008-10-08,0.27411895957084087,-0.23056911239876174,False,
APA,2020-01-07,0.16731679910240138,0.01915903246457903,True,11.0
APA,2020-03-10,0.19057576045977398,-0.6323657628938627,False,
APA,2020-04-09,0.2018472482030791,0.44002951587976374,False,
APH,2025-04-23,0.15619767254291506,0.1264141301805504,False,
APP,2022-05-12,0.17796911703394436,0.03065195773455285,True,8.0
APP,2023-02-09,0.3619873850250874,-0.20671688210023487,False,
APP,2023-05-11,0.221504762106711,0.1413468573460104,False,
APP,2023-08-10,0.30295817387418755,0.12787060451205423,False,
APP,2024-02-15,0.16673784125243185,0.15552705567951103,False,
APP,2024-11-07,0.36458021854423994,0.428521728515625,False,
APP,2025-02-13,0.31294695709292153,-0.4800536572537492,False,
AXON,2002-01-09,0.19931496158734996,-0.01085137879706349,False,
AXON,2004-06-21,0.15133874851582818,0.3282777130459239,True,12.0
AXON,2005-01-13,0.22339795331739065,-0.2114367963214659,False,
AXON,2005-12-13,0.16830069102431944,-0.012587433760483832,False,
AXON,2008-11-24,0.18215613349951143,0.19811316440152776,True,4.0
AXON,2016-02-29,0.17391310040837782,-0.07602345704143464,False,
AXON,2018-02-28,0.17467883748745705,0.2121212518452303,False,
AXON,2019-11-08,0.18183550480905875,0.1914756972554195,False,
AXON,2021-11-16,0.24747620673494009,-0.2635989466437751,False,
AXON,2024-11-08,0.1519999999999999,0.19807411476417824,False,
AXON,2025-02-26,0.17779124010006742,-0.02878883067619898,False,
BA,2020-03-24,0.1709903151766221,0.3098318208301346,True,3.0
BAC,2008-09-19,0.260300942253052,-0.4584847445792978,False,
BAC,2009-01-28,0.17538436653480716,-0.40183196360915985,False,
BAC,2009-03-10,0.15999992166724097,0.5931039991169154,True,7.0
BAC,2009-04-09,0.15439119247805078,0.2380362978768119,True,2.0
BAC,2011-08-25,0.18598031627054912,-0.11471198572790986,False,
BBY,2012-08-06,0.22449018280315136,-0.17268493581717814,False,
BBY,2015-08-25,0.15066611211677805,0.14930439993101313,False,
BBY,2016-08-23,0.1695120904946319,-0.015934846089475412,False,
BBY,2024-08-29,0.1692675867717104,-0.03163020453008076,False,
BIIB,2004-02-18,0.16809766659630831,0.06382977153505408,False,
BIIB,2007-10-15,0.20048967460407208,-0.11793643684476796,False,
BIIB,2011-04-21,0.15513457724984514,-0.017600021362304687,False,
BIIB,2018-07-06,0.1614403488120093,-0.006656094625687668,True,14.0
BIIB,2019-10-22,0.38696258609821954,-0.06000001968876008,False,
BIIB,2022-09-28,0.4306082261994628,-0.06541553508275909,False,
BKNG,2001-01-17,0.18303577519904035,-0.35094339354981147,False,
BKNG,2001-05-01,0.24742276657716356,-0.03966939602546763,True,2.0
BKNG,2001-08-01,0.1555805316426755,-0.4341462806423122,False,
BKNG,2001-10-03,0.19891006149225765,-0.0977273558089223,False,
BKNG,2001-12-18,0.16158022834182262,-0.13910380393826213,False,
BKNG,2002-08-01,0.2756757113063739,0.1016948641508864,False,
BKNG,2003-05-02,0.24472576834113036,0.020338829722323374,True,4.0
BKNG,2003-07-25,0.1949285349101988,0.05437669061817032,True,3.0
BKNG,2005-11-03,0.20051295396362456,0.02563007928410536,False,
BKNG,2007-08-08,0.19419264965453875,0.01119267620446597,False,
BKNG,2007-11-09,0.16565784673020167,0.15850545187757192,False,
BKNG,2009-02-19,0.16264170658278587,-0.019519664156872,True,12.0
BKNG,2010-08-04,0.18043096903737577,0.08303618367351796,False,
BLDR,2008-10-16,0.3777780717567498,-0.25604854726388976,False,
BLDR,2008-11-20,0.1775698706160418,0.2857139160978793,True,14.0
BLDR,2015-04-13,0.5942028765166618,0.16272726925936612,True,9.0
BLDR,2015-11-06,0.15434602386385898,-0.02111190639898015,False,
BRO,2006-07-25,0.16320650176307527,-0.07359430268618884,False,
C,2008-09-19,0.303303237779994,-0.3497696368121085,False,
C,2008-11-21,0.15498934727017044,0.18566206962093004,True,5.0
C,2009-01-28,0.2084502590700248,-0.32006302078706256,False,
C,2009-03-10,0.18095257872118808,1.0967741714178727,True,7.0
CASY,2010-04-09,0.20702756492280971,0.015331475160262375,False,
CBRE,2008-09-19,0.18699784500249206,-0.4307692307692308,False,
CBRE,2008-11-13,0.19098137767488899,0.0,True,8.0
CBRE,2009-03-25,0.3633333841959636,0.03911976563396256,True,2.0
CCJ,2018-09-27,0.1668360580666024,0.007846501012660536,False,
CCJ,2025-10-28,0.16058642460380024,-0.17139156061841607,False,
CCL,2020-03-13,0.22511692593925314,-0.5370774753034747,False,
CCL,2020-06-05,0.20670991329526767,-0.0766815937152093,True,3.0
CCL,2020-11-09,0.3379159754636609,0.08058411538103943,False,
CDW,2019-01-09,0.15323284321525388,-0.10359722699099887,False,
CEG,2025-01-10,0.1585055571965981,-0.026514079283469775,True,10.0
CF,2009-02-25,0.19647360739618147,0.04015035625417733,False,
CHRW,2025-10-30,0.15636107150038736,-0.006951401270293335,False,
CHTR,2026-06-29,0.25793176727126754,-0.1789899246246139,False,
CI,2023-12-11,0.1546367647502518,0.0021084568951232644,False,
CIEN,2002-12-12,0.18146724036518003,-0.07352944712089643,False,
CIEN,2014-06-05,0.1585044900031929,-0.018636356700550426,False,
CIEN,2019-06-06,0.18617614566104246,-0.022556458369204422,False,
CIEN,2022-12-08,0.16813127569064856,0.004355597466122564,False,
CIEN,2025-09-04,0.21282430257461082,0.1927825927734375,False,
CMCSA,2026-06-29,0.16745788295168662,-0.13456560045522525,False,
CME,2008-09-19,0.15000076211292956,-0.038292305056093254,False,
CMI,2003-07-25,0.204269691630099,0.07648701529318587,False,
CNC,2006-10-24,0.27671228696222183,0.03390561980237248,False,
CNC,2025-09-11,0.1503038277625781,0.023630760224491267,False,
CNP,2002-10-01,0.16517431556323214,-0.3615821949906291,False,
CNP,2003-03-03,0.268816543668986,0.15706229799290217,False,
COF,2009-05-07,0.18218471789534774,0.026126411261196844,True,2.0
COHR,2000-03-02,0.48571428571428577,0.21875,True,4.0
COHR,2020-05-12,0.2858718630195327,0.013304780405225643,False,
COHR,2022-11-09,0.16727873769314372,0.07866132929109261,True,5.0
COHR,2024-02-06,0.18332662300631508,-0.007865921478683128,False,
COIN,2022-05-13,0.18393166044838405,-0.009096229618551215,True,12.0
COIN,2022-08-04,0.3129563380717846,-0.32733266943458134,False,
COO,2000-03-23,0.15199986786395203,-0.03645797370140801,False,
COO,2025-12-05,0.16396215867793873,-0.0785188559891,False,
CPRT,2000-02-28,0.16825290163870577,-0.20652114421053155,False,
CRH,2001-03-13,0.1707314483681246,-0.110257205714225,False,
CRL,2024-11-06,0.21364222165648283,-0.12838992292242687,False,
CRL,2025-05-07,0.22199111259190518,-0.03389348947508164,False,
CRM,2020-08-26,0.1662114089066311,0.010874642767487853,True,7.0
CRM,2023-03-02,0.15398862108404976,-0.029411618845874076,False,
CRWD,2019-07-19,0.17058424277813566,0.003757628946258461,True,11.0
CRWD,2020-03-20,0.19681360379115453,0.16404763075656162,False,
CRWD,2024-03-06,0.21000803450426786,-0.10498538834753136,False,
CSCO,2002-05-08,0.1643726594803283,0.02757692615502837,True,14.0
CSCO,2026-05-14,0.15392166371274474,0.10591234900062398,False,
CSGP,2020-07-29,0.3100984570153351,-0.11903090278485896,False,
CSX,2017-01-19,0.17217971724484293,0.10455700080505201,False,
CTSH,2008-02-08,0.1667888542350684,-0.050895575040931985,False,
CTVA,2024-02-01,0.24208447130889077,-0.03151007048790727,False,
CVNA,2018-05-10,0.1712439469751703,-0.005172449796859156,False,
CVNA,2018-11-08,0.18886716940607906,-0.13900528933956618,False,
CVNA,2019-08-08,0.22932137697004107,0.15830879878094728,False,
CVNA,2020-03-30,0.18270807928837685,0.22999992929656163,True,11.0
CVNA,2020-09-22,0.214141748056903,0.017973997065798462,True,10.0
CVNA,2023-02-02,0.28539830321921356,-0.42168674781196586,False,
CVNA,2023-03-22,0.27994956830602247,-0.0896551351545616,False,
CVNA,2023-05-05,0.3930555293405509,0.19242268689413336,True,4.0
CVNA,2023-06-08,0.21184803724549628,0.2497343444375754,True,7.0
CVNA,2023-07-19,0.35653269898815876,-0.23245046775789568,False,
CVNA,2024-02-23,0.2943140559871038,0.15132302186041913,True,11.0
CVNA,2024-05-02,0.3773108726541954,-0.08370151893804806,False,
CVNA,2025-07-31,0.16980416614922,-0.131113232586911,False,
DAL,2020-03-24,0.18181825999854162,0.0917745518369467,True,4.0
DAL,2020-11-09,0.19032479970261873,0.07620319114713803,False,
DASH,2021-11-10,0.1644185627175505,-0.0372573654299777,True,7.0
DASH,2022-02-17,0.2182632381533729,-0.22448765032120396,False,
DD,2009-04-30,0.15321951553670243,3.4670989456886934e-07,True,9.0
DDOG,2021-11-05,0.16136569592006755,-0.06519160054380439,False,
DDOG,2023-11-07,0.244374532573725,0.15405596857358372,False,
DDOG,2025-11-06,0.15427799923381147,0.007658310256927507,True,7.0
DDOG,2026-05-07,0.3081204976036238,0.19814883191412286,False,
DECK,2000-04-18,0.19230599093432077,-0.03226060772771654,False,
DECK,2002-01-14,0.5061733856776922,-0.1639356804735601,False,
DECK,2002-10-11,0.16724993191656234,0.11940184622558528,False,
DECK,2007-10-26,0.1604032805249569,0.010058665465311794,True,4.0
DECK,2008-11-10,0.1600773164348681,-0.3761916270480419,False,
DECK,2013-10-25,0.17986231831888855,0.14806709626668021,False,
DECK,2017-05-26,0.15608976602425728,0.05015294661750957,False,
DECK,2022-05-20,0.16830551139080518,0.018908493826038573,False,
DECK,2025-07-25,0.17629120992568637,-0.16591058775014944,False,
DECK,2026-01-30,0.1501501478567473,0.032985212055664966,False,
DELL,2024-03-01,0.317029268310018,-0.09970316884018368,False,
DELL,2026-05-29,0.31840408797918274,0.0073683889288651315,True,3.0
DG,2022-05-26,0.1507116019848791,0.03314337914635536,False,
DHR,2016-07-05,0.5524292956775392,0.047791422116660286,False,
DIS,2004-02-11,0.15946822487217927,-0.04548704069261822,False,
DLTR,2022-05-26,0.19627219057918532,-0.05406419824567367,False,
DLTR,2026-05-28,0.15792217540317344,0.005765240765089222,False,
DOW,2020-03-13,0.1799743335542201,-0.031865443507133544,True,13.0
DPZ,2020-02-20,0.2185458699986753,-0.12201966849596725,False,
DVA,2000-05-11,0.1818174251842759,0.23076929848577016,True,7.0
DVA,2026-02-03,0.15118263503458507,0.1789844036102295,False,
DXCM,2013-11-07,0.2371512865675811,-0.012462966591516,False,
DXCM,2017-01-13,0.17379085777143133,0.025453586536426032,False,
DXCM,2018-08-02,0.2510477626945,0.19095473309036418,False,
DXCM,2019-11-07,0.20950890056196037,0.228563728556025,False,
EA,2014-05-07,0.15258496913328345,0.07330628689818187,False,
EBAY,2000-10-20,0.16038207519567727,-0.3058626312865791,False,
EBAY,2001-01-19,0.16266721640906812,-0.18233980707517194,False,
EIX,2001-01-25,0.22666791226589322,0.13130297792714613,True,6.0
EIX,2001-03-26,0.1607128768351529,4.953506028165003e-07,True,3.0
EIX,2001-10-03,0.16363585098951128,-0.05375007178592016,False,
EL,2024-02-05,0.1889352958807924,-0.09055544763722646,False,
EQIX,2000-10-12,0.23484816215133386,0.3558285954206102,True,5.0
EQIX,2001-04-09,0.3978945677527166,0.481927880024875,True,9.0
