section,label,cagr,vol,sharpe,sortino,maxdd,calmar,years,multiple,trades
period,Full sample (2009-08 - 2026-08),0.3027361931797592,0.2048218005506257,1.397768340388576,2.0727625968743912,-0.23344555882526052,1.2968171024678363,17.02943189596167,90.35258621186009,17.0
period,First half (2009 - 2017),0.24172467083641247,0.17648706055861543,1.3172707067190632,2.0260090722438635,-0.13490042139894876,1.7918748387119283,8.147843942505133,5.83584235066643,6.0
period,Second half (2017 - 2026),0.36190864033453196,0.22670568262625823,1.4812537198036526,2.166868186807264,-0.23067621881402878,1.5689031240203517,8.873374401095141,15.500482205969202,11.0
period,Pre-AI melt-up (2009 - 2022),0.24126498672284047,0.19116116216615714,1.228545603773933,1.7778141523540605,-0.23344555882526052,1.0334957235294118,13.399041752224504,18.100660505433943,10.0
period,AI melt-up only (2023 - 2026),0.5343159948137655,0.24721636813127706,1.8654686431240368,2.9214683127595134,-0.19404526569516567,2.7535636744322645,3.619438740588638,4.708767797280104,4.0
period,Post-2020 (2020 - 2026),0.4363731434832423,0.24336841502437992,1.615430844128681,2.425081187941485,-0.22070806074389315,1.9771509115365034,6.622861054072553,11.004221396723326,11.0
usd,target,0.3027361931797592,0.2048218005506257,1.397768340388576,2.0727625968743912,-0.23344555882526052,1.2968171024678363,17.02943189596167,90.35258621186009,17.0
usd,target_daily_rebal,0.305541975173536,0.20070939946557909,1.4330719815623778,2.108932864669906,-0.23452892113226775,1.3027901791319751,17.02943189596167,93.72430257520166,
usd,equal_weight,0.27475709970820517,0.18386838205344086,1.4165000732374302,2.08240036601599,-0.21072423889656455,1.3038704097209795,17.02943189596167,62.426559406104175,15.0
usd,Gold (GC=F),0.09373013590112556,0.1710787029704203,0.6112599673832628,0.7880454624331228,-0.44363844125895235,0.21127595623846118,17.02943189596167,4.598521649373584,0.0
usd,Broadcom (AVGO),0.4095088825295228,0.3825556758651827,1.0911141331867658,1.5817432467618522,-0.4829996655669667,0.847845064341448,17.02943189596167,345.5733466246373,0.0
usd,Eli Lilly (LLY),0.2641233671545089,0.2650961757853571,1.018744709903979,1.4535282050836396,-0.34474995443861833,0.7661302452805262,17.02943189596167,54.12733745654572,0.0
usd,S&P 500 (SPY),0.14787212346615064,0.1707388471584716,0.8958637445923381,1.1071922697089482,-0.33717251235755274,0.43856517968267966,17.02943189596167,10.4701386415598,0.0
usd,Nasdaq 100 (QQQ),0.19719281703484315,0.20591766707776005,0.9800079675802449,1.268242331820503,-0.35118728889352624,0.5615032869103316,17.02943189596167,21.43336006560927,0.0
sek,target,0.3248209333961243,0.22903157706971455,1.3466074036679747,2.0413712127315087,-0.28044047153124496,1.1582527001989251,17.02943189596167,120.30049302575512,17.0
sek,Gold (GC=F),0.1122716841014777,0.1973189626583686,0.6397845360548766,0.9198481402028759,-0.3701613839014879,0.3033046908300864,17.02943189596167,6.122729241109811,0.0
sek,Broadcom (AVGO),0.4334036953598501,0.3956783804857469,1.11025790016614,1.6462169311707504,-0.4747357200708815,0.9129367709999572,17.02943189596167,460.1157057975505,0.0
sek,Eli Lilly (LLY),0.28555352032842296,0.2863638495241162,1.0226184561347547,1.4916299972725677,-0.40026074784706267,0.7134187448166447,17.02943189596167,72.06816821961802,0.0
sek,S&P 500 (SPY),0.16733151807042645,0.19952925640994226,0.8778562824805477,1.1897674832903276,-0.3030487926107497,0.5521603192306891,17.02943189596167,13.94052891495781,0.0
