assets,weights,is_calmar
SCA-B.ST/DPZ/ROST,20%/30%/50%,2.6734370379387173
DPZ/MO/AMT,30%/40%/30%,2.6726572295861133
SCA-B.ST/DPZ/LLY,60%/20%/20%,2.6721110347363224
SCA-B.ST/DPZ/EXR,60%/20%/20%,2.6720543808202444
SCA-B.ST/DPZ/NI,50%/30%/20%,2.6676612949114866
SCA-B.ST/DPZ/HD,60%/30%/10%,2.6675253653746798
SCA-B.ST/DPZ/DTE,60%/30%/10%,2.6654286202732247
SCA-B.ST/DPZ/MKC,40%/30%/30%,2.6606713848263457
SCA-B.ST/DPZ/ROL,60%/30%/10%,2.6602927436796127
SCA-B.ST/AMZN/MCD,40%/30%/30%,2.659528352484309
SCA-B.ST/DPZ/AOS,60%/20%/20%,2.6576121073561576
SCA-B.ST/TJX/GC_F,60%/30%/10%,2.6572101200812908
SCA-B.ST/DPZ/AOS,50%/40%/10%,2.6558365606064083
SCA-B.ST/DPZ/AMT,40%/40%/20%,2.6543922631961414
SCA-B.ST/ROST/GC_F,60%/20%/20%,2.6540659872249157
SCA-B.ST/DPZ/BF_B,40%/40%/20%,2.6535990673672423
SCA-B.ST/DPZ/BF_B,40%/30%/30%,2.6529502197528245
SCA-B.ST/DPZ/IT,50%/30%/20%,2.6526405525472847
SCA-B.ST/DPZ/LLY,50%/20%/30%,2.6506068485239958
SCA-B.ST/DPZ/AMZN,50%/30%/20%,2.6503133387162827
EXR/AMZN/MO,20%/30%/50%,2.6493591623379458
SCA-B.ST/NI/AMZN,40%/40%/20%,2.6477524576402818
SCA-B.ST/AMZN/MO,50%/30%/20%,2.6473934691735144
SCA-B.ST/DPZ/UNH,70%/20%/10%,2.6456023811892457
SCA-B.ST/DPZ/LLY,70%/20%/10%,2.6437929636451645
SCA-B.ST/DPZ/BF_B,60%/30%/10%,2.643677868706345
SCA-B.ST/DPZ/UNH,60%/20%/20%,2.6397212167533683
SCA-B.ST/DPZ/MKC,70%/20%/10%,2.6389817319816347
SCA-B.ST/DPZ/ALGN,50%/40%/10%,2.638430159070148
SCA-B.ST/DPZ/IT,30%/30%/40%,2.637640131838846
SCA-B.ST/TJX/GC_F,50%/40%/10%,2.6375910048486104
SCA-B.ST/DPZ/AMT,70%/20%/10%,2.6369363982244347
SCA-B.ST/DPZ/ACGL,70%/20%/10%,2.6369308619603102
SCA-B.ST/DPZ/TJX,70%/10%/20%,2.63631139886761
SCA-B.ST/DPZ/AMT,20%/40%/40%,2.6353477320085323
SCA-B.ST/DPZ/MO,50%/40%/10%,2.6351157050086593
SCA-B.ST/NI/AMZN,30%/40%/30%,2.6336920824530514
SCA-B.ST/DPZ/EXR,40%/30%/30%,2.633009644292165
SCA-B.ST/DPZ/ATO,50%/30%/20%,2.631462124134634
SCA-B.ST/DPZ/XEL,40%/30%/30%,2.6310938076271935
SCA-B.ST/DPZ/MRSH,50%/30%/20%,2.6310670827434848
SCA-B.ST/DPZ/TJX,40%/10%/50%,2.630718932775062
SCA-B.ST/NI/AMZN,40%/20%/40%,2.6281529446510907
SCA-B.ST/DPZ/AOS,40%/30%/30%,2.627478929004144
SCA-B.ST/DPZ/ROL,70%/20%/10%,2.626619013877644
SCA-B.ST/CMS/AMZN,40%/30%/30%,2.6265608817506814
SCA-B.ST/DPZ/IT,70%/20%/10%,2.6253055688890106
SCA-B.ST/MCD/ROST,40%/30%/30%,2.624457240266203
SCA-B.ST/MCD/ROST,30%/40%/30%,2.6221259532594003
SCA-B.ST/DPZ/EXR,50%/40%/10%,2.621609626710162
SCA-B.ST/DPZ/COST,40%/30%/30%,2.6216052313840947
SCA-B.ST/AMZN/GC_F,60%/30%/10%,2.620663523501867
SCA-B.ST/DPZ/SHW,70%/20%/10%,2.62058235575215
SCA-B.ST/DPZ/MO,30%/20%/50%,2.6204075899620483
SCA-B.ST/DPZ/MKC,60%/20%/20%,2.6197131925762256
SCA-B.ST/DPZ/MKC,60%/30%/10%,2.619575056361706
SCA-B.ST/TJX/GC_F,40%/40%/20%,2.61863080982481
SCA-B.ST/DPZ/ACGL,40%/30%/30%,2.6175901335050455
SCA-B.ST/DPZ/NI,50%/10%/40%,2.6172515518861075
SCA-B.ST/DPZ/AMZN,60%/10%/30%,2.616495903439436
SCA-B.ST/DPZ/AMT,60%/30%/10%,2.6163594511882966
SCA-B.ST/STZ/AMZN,50%/20%/30%,2.615928235079841
SCA-B.ST/DPZ/ACGL,60%/30%/10%,2.61572831230015
SCA-B.ST/MCD/ROST,50%/30%/20%,2.615267252754875
SCA-B.ST/DPZ/CMS,70%/20%/10%,2.6151584067373244
SCA-B.ST/DPZ/ACGL,60%/20%/20%,2.614528563310837
SCA-B.ST/DPZ/AMT,60%/20%/20%,2.61176995842911
SCA-B.ST/AMZN/GC_F,50%/20%/30%,2.611613657415024
SCA-B.ST/AMZN/TJX,50%/20%/30%,2.6115155605079474
SCA-B.ST/MCD/ROST,40%/40%/20%,2.6113423708772507
SCA-B.ST/DPZ/XEL,70%/20%/10%,2.610376468339726
SCA-B.ST/DPZ/ACGL,40%/40%/20%,2.6084812968164313
SCA-B.ST/DPZ/DTE,70%/20%/10%,2.6081336018192007
SCA-B.ST/DPZ/ATO,70%/20%/10%,2.6076498207022003
SCA-B.ST/AMZN/MCD,50%/30%/20%,2.606811336878647
SCA-B.ST/DPZ/UNH,60%/30%/10%,2.606648794950587
SCA-B.ST/TJX/GC_F,40%/50%/10%,2.6065014401854336
SCA-B.ST/DPZ/ROL,50%/40%/10%,2.6050504557126013
SCA-B.ST/DPZ/MRSH,70%/20%/10%,2.6027413130659194
SCA-B.ST/MO/TJX,30%/30%/40%,2.6016482332445685
SCA-B.ST/MCD/ROST,30%/50%/20%,2.6016132445092612
SCA-B.ST/DPZ/LLY,60%/30%/10%,2.601152255507226
SCA-B.ST/ROST/GC_F,70%/10%/20%,2.600180228967679
SCA-B.ST/DPZ/UNH,40%/40%/20%,2.5999504620657032
SCA-B.ST/DPZ/COST,70%/20%/10%,2.5931601829376993
SCA-B.ST/AMZN/TJX,60%/10%/30%,2.5924633502559975
SCA-B.ST/DPZ/MKC,50%/20%/30%,2.592158529081487
SCA-B.ST/DPZ/AMT,30%/30%/40%,2.5917915877939888
SCA-B.ST/DPZ/ROL,60%/20%/20%,2.5915314876780977
SCA-B.ST/DPZ/UNH,40%/30%/30%,2.5913296324651807
SCA-B.ST/AMZN/GC_F,60%/20%/20%,2.591279713603026
SCA-B.ST/DPZ/NI,40%/20%/40%,2.5903673444541333
DPZ/EXR/MO,20%/30%/50%,2.5900939051629677
SCA-B.ST/DPZ/BF_B,50%/40%/10%,2.589744765535856
SCA-B.ST/DPZ/COST,50%/30%/20%,2.5896642387959665
SCA-B.ST/DPZ/BF_B,50%/20%/30%,2.5889391315584662
SCA-B.ST/DPZ/IT,40%/40%/20%,2.588269895595893
SCA-B.ST/MO/MCD,30%/20%/50%,2.587973980949919
SCA-B.ST/DPZ/DTE,50%/40%/10%,2.5878574951773796
SCA-B.ST/MO/MCD,30%/50%/20%,2.5878167492137525
SCA-B.ST/MRSH/GC_F,40%/30%/30%,2.5875579500110097
SCA-B.ST/DPZ/AOS,40%/40%/20%,2.58687297560458
SCA-B.ST/TJX/GC_F,70%/20%/10%,2.5862649445301127
SCA-B.ST/UNH/GC_F,40%/20%/40%,2.585817118361152
SCA-B.ST/DPZ/IT,60%/30%/10%,2.58579942910461
SCA-B.ST/ROST/GC_F,30%/40%/30%,2.585427523033702
SCA-B.ST/DPZ/BF_B,30%/40%/30%,2.584616214813347
SCA-B.ST/DPZ/NI,60%/10%/30%,2.5833951675031557
SCA-B.ST/AMZN/TJX,50%/10%/40%,2.5816987901570654
DPZ/MO/AMT,40%/20%/40%,2.5816722863650194
SCA-B.ST/DPZ/ALGN,40%/30%/30%,2.5811770917982106
SCA-B.ST/UNH/GC_F,70%/10%/20%,2.580598619356648
SCA-B.ST/DPZ/EXR,50%/20%/30%,2.5799946590464606
SCA-B.ST/DPZ/ROST,40%/40%/20%,2.5799773881089227
SCA-B.ST/DPZ/CTAS,70%/20%/10%,2.579760207949033
SCA-B.ST/DPZ/ALGN,70%/20%/10%,2.5791554547423097
SCA-B.ST/TJX/GC_F,30%/50%/20%,2.5789215213870427
SCA-B.ST/DPZ/SHW,60%/20%/20%,2.5781788285664353
SCA-B.ST/MCD/SHW,40%/40%/20%,2.5768567576841335
SCA-B.ST/DPZ/XEL,50%/40%/10%,2.576619539099395
SCA-B.ST/IT/GC_F,50%/20%/30%,2.576535126043603
SCA-B.ST/DPZ/TJX,30%/10%/60%,2.57469925377397
SCA-B.ST/DPZ/SHW,40%/30%/30%,2.5740027182735052
SCA-B.ST/MO/MCD,40%/40%/20%,2.5739761574048154
SCA-B.ST/AMZN/TJX,40%/30%/30%,2.5737837267136094
SCA-B.ST/DPZ/MRSH,60%/30%/10%,2.5722740382834095
SCA-B.ST/DPZ/NI,40%/10%/50%,2.5721087885924474
SCA-B.ST/CMS/AMZN,50%/20%/30%,2.5702199020951753
SCA-B.ST/DPZ/CMS,60%/20%/20%,2.570021926264824
SCA-B.ST/MCD/ROST,30%/30%/40%,2.5692699779226484
SCA-B.ST/DPZ/SHW,50%/40%/10%,2.5671034317987855
SCA-B.ST/DPZ/MKC,50%/40%/10%,2.565880857724295
SCA-B.ST/NI/AMZN,60%/30%/10%,2.5646650565899645
SCA-B.ST/UNH/GC_F,60%/10%/30%,2.5643593672161047
SCA-B.ST/DPZ/LLY,40%/20%/40%,2.5634942948792547
SCA-B.ST/DPZ/AMT,50%/40%/10%,2.5634847300572035
SCA-B.ST/DPZ/CTAS,50%/30%/20%,2.5630830629674923
SCA-B.ST/DPZ/MO,40%/10%/50%,2.562852060751774
SCA-B.ST/DPZ/ACGL,50%/40%/10%,2.5627913546927212
SCA-B.ST/NI/AMZN,30%/30%/40%,2.561432467931941
SCA-B.ST/DPZ/DTE,40%/30%/30%,2.5612847815520343
SCA-B.ST/AMZN/TJX,40%/10%/50%,2.5609360025354775
SCA-B.ST/DPZ/XEL,60%/20%/20%,2.56086132692663
SCA-B.ST/AMZN/GC_F,70%/20%/10%,2.559827740108066
SCA-B.ST/DPZ/HD,70%/20%/10%,2.559072641673287
SCA-B.ST/DPZ/IT,30%/40%/30%,2.559012615801335
SCA-B.ST/DPZ/UNH,50%/40%/10%,2.557656121895328
SCA-B.ST/DPZ/DTE,60%/20%/20%,2.5562157646809216
SCA-B.ST/ROST/GC_F,60%/10%/30%,2.556178997933964
SCA-B.ST/DPZ/TJX,50%/40%/10%,2.5557066448936236
SCA-B.ST/DPZ/ATO,60%/20%/20%,2.5546965878059167
SCA-B.ST/DPZ/COST,60%/30%/10%,2.554587186956505
SCA-B.ST/DPZ/LLY,30%/30%/40%,2.5538829707330812
SCA-B.ST/DPZ/MKC,30%/30%/40%,2.552470633502275
SCA-B.ST/DPZ/ACGL,50%/20%/30%,2.552446598552963
SCA-B.ST/DPZ/CB,70%/20%/10%,2.5519595740619265
SCA-B.ST/MO/TJX,40%/20%/40%,2.551932324493657
SCA-B.ST/MO/MCD,20%/30%/50%,2.5513792856926876
SCA-B.ST/DPZ/ATO,50%/40%/10%,2.5513578582256473
SCA-B.ST/DPZ/COST,60%/20%/20%,2.549901742606245
SCA-B.ST/DPZ/CMS,50%/40%/10%,2.5495927914915546
SCA-B.ST/MO/TJX,40%/30%/30%,2.548698547942965
SCA-B.ST/DPZ/LLY,50%/40%/10%,2.5485682667515746
SCA-B.ST/DPZ/MO,40%/40%/20%,2.5477221472791953
DPZ/BF_B/GC_F,30%/40%/30%,2.5473416122426586
SCA-B.ST/DPZ/MRSH,40%/30%/30%,2.5465274613086812
SCA-B.ST/EXR/AMZN,40%/30%/30%,2.5461168491992026
SCA-B.ST/TJX/GC_F,50%/30%/20%,2.54557326170544
SCA-B.ST/AMZN/ACGL,50%/20%/30%,2.5453890968168413
SCA-B.ST/DPZ/BF_B,30%/30%/40%,2.5453690603965415
SCA-B.ST/DPZ/MRSH,60%/20%/20%,2.545338548303236
SCA-B.ST/AMZN/TJX,60%/20%/20%,2.5438334382213434
SCA-B.ST/DPZ/CTAS,60%/30%/10%,2.543242705259848
SCA-B.ST/MO/TJX,30%/40%/30%,2.5431120123319606
SCA-B.ST/NI/AMZN,60%/10%/30%,2.5424299875686684
SCA-B.ST/AMZN/GC_F,40%/30%/30%,2.5423332998102843
SCA-B.ST/DPZ/ALGN,40%/40%/20%,2.542078175618369
SCA-B.ST/DPZ/ROL,40%/30%/30%,2.54192477674753
SCA-B.ST/DPZ/ADP,70%/20%/10%,2.5416586691216203
SCA-B.ST/DPZ/IFF,70%/20%/10%,2.5408579255297634
SCA-B.ST/MCD/ROST,60%/30%/10%,2.53995079006567
EXR/AMZN/MO,30%/30%/40%,2.538557397290772
SCA-B.ST/AMZN/MO,60%/20%/20%,2.5380984215991553
SCA-B.ST/DPZ/CTAS,60%/20%/20%,2.538074450002587
SCA-B.ST/DPZ/LMT,70%/20%/10%,2.5380046845342883
SCA-B.ST/DPZ/MO,50%/10%/40%,2.5373010335584754
SCA-B.ST/CTAS/GC_F,70%/10%/20%,2.536686763345787
SCA-B.ST/MO/TJX,20%/40%/40%,2.5364167800688047
SCA-B.ST/DPZ/IT,50%/40%/10%,2.5363462636847163
SCA-B.ST/MO/MCD,50%/30%/20%,2.5345939595136944
SCA-B.ST/AMZN/MO,20%/40%/40%,2.5335071868724497
SCA-B.ST/AMZN/MCD,60%/20%/20%,2.53336963624495
SCA-B.ST/AMZN/MO,30%/40%/30%,2.5330607618468077
DPZ/BF_B/GC_F,30%/50%/20%,2.5322030005362604
SCA-B.ST/DPZ/NI,50%/40%/10%,2.5320065300386516
SCA-B.ST/DPZ/AMT,50%/20%/30%,2.531926891559192
DPZ/AVGO/MO,30%/20%/50%,2.531795673533719
SCA-B.ST/DPZ/AOS,50%/20%/30%,2.530780608672922
SCA-B.ST/MCD/TJX,60%/20%/20%,2.529199603864042
SCA-B.ST/AMZN/MO,60%/30%/10%,2.5291526065079637
SCA-B.ST/STZ/AMZN,30%/30%/40%,2.5283192309422997
SCA-B.ST/DPZ/UNH,30%/40%/30%,2.5282626002957356
SCA-B.ST/DPZ/TJX,40%/30%/30%,2.527998015332193
SCA-B.ST/MCD/TJX,50%/30%/20%,2.5268979922689483
