assets,weights,is_calmar
SCA-B.ST/DPZ/TJX,30%/20%/50%,2.478407831903568
SCA-B.ST/AMZN/MO,10%/40%/50%,2.4782750418283745
SCA-B.ST/DPZ/MRSH,50%/20%/30%,2.4781665093557637
SCA-B.ST/DPZ/ATO,40%/30%/30%,2.476823566083955
SCA-B.ST/DPZ/ROST,30%/40%/30%,2.4767653062863917
SCA-B.ST/LMT/GC_F,60%/20%/20%,2.4767232334084968
SCA-B.ST/NI/AMZN,30%/50%/20%,2.47651276353191
SCA-B.ST/STZ/AMZN,60%/20%/20%,2.4762981980421945
SCA-B.ST/MO/MCD,60%/10%/30%,2.4760965087094147
SCA-B.ST/DPZ/AOS,30%/30%/40%,2.4754745437196974
SCA-B.ST/EXR/AMZN,70%/10%/20%,2.475061364219159
SCA-B.ST/MCD/IT,40%/30%/30%,2.4749712512830677
SCA-B.ST/DPZ/LLY,40%/40%/20%,2.474762292937038
DPZ/EXR/MO,20%/40%/40%,2.4745977289436096
SCA-B.ST/DPZ/AMT,10%/50%/40%,2.474516805919764
SCA-B.ST/CMS/AMZN,50%/30%/20%,2.4744155816333815
SCA-B.ST/DPZ/EL,60%/30%/10%,2.4743834886740235
DPZ/UNH/MO,30%/30%/40%,2.473655523767303
SCA-B.ST/TJX/GC_F,60%/20%/20%,2.4733861874672223
SCA-B.ST/DPZ/UNH,30%/30%/40%,2.473316714623994
SCA-B.ST/ACGL/TJX,50%/10%/40%,2.4731083293513305
SCA-B.ST/NI/TJX,60%/20%/20%,2.472491966906105
SCA-B.ST/UNH/GC_F,40%/30%/30%,2.472452611053394
SCA-B.ST/MCD/TJX,40%/20%/40%,2.4713679720523687
DPZ/SHW/AMT,40%/10%/50%,2.4711938972404552
SCA-B.ST/DPZ/IT,20%/40%/40%,2.4692121126518547
SCA-B.ST/DPZ/CB,50%/40%/10%,2.469101824059564
SCA-B.ST/AMZN/TJX,60%/30%/10%,2.4690131632551537
SCA-B.ST/NI/MCD,30%/20%/50%,2.468755407222243
MO/MCD/ACGL,40%/40%/20%,2.4683901438531017
SCA-B.ST/DPZ/IT,40%/20%/40%,2.4683139704357258
SCA-B.ST/MCD/SHW,50%/30%/20%,2.468186880454601
DPZ/MO/AMT,40%/10%/50%,2.4671087447482383
SCA-B.ST/EXR/MCD,60%/10%/30%,2.466453696956275
SCA-B.ST/EXR/AMZN,60%/10%/30%,2.4663770385653465
STZ/AMZN/MO,20%/20%/60%,2.4660930711085096
SCA-B.ST/AMZN/ACGL,50%/30%/20%,2.4655656696520833
SCA-B.ST/DPZ/ADP,40%/30%/30%,2.4644916791869194
SCA-B.ST/NI/MCD,50%/30%/20%,2.4641055724535033
SCA-B.ST/AMZN/MO,40%/10%/50%,2.4640430030745297
SCA-B.ST/DPZ/LLY,30%/20%/50%,2.4634370944427757
DPZ/STZ/MO,20%/20%/60%,2.4633185624978045
SCA-B.ST/EXR/AMZN,70%/20%/10%,2.46322085958253
SCA-B.ST/DPZ/NI,40%/30%/30%,2.4631870105484506
SCA-B.ST/DPZ/AMT,20%/30%/50%,2.463094000103802
SCA-B.ST/AMZN/ACGL,40%/20%/40%,2.4622606404712473
SCA-B.ST/DPZ/HD,60%/20%/20%,2.461631976735376
SCA-B.ST/AMZN/ACGL,60%/20%/20%,2.460988062262176
SCA-B.ST/DPZ/ADP,50%/40%/10%,2.4609598538880335
SCA-B.ST/LMT/GC_F,50%/30%/20%,2.4609423009636044
SCA-B.ST/DPZ/STZ,60%/30%/10%,2.460855612046725
SCA-B.ST/TJX/SHW,50%/40%/10%,2.460528576425105
SCA-B.ST/DPZ/AMT,20%/50%/30%,2.459621329905295
SCA-B.ST/DPZ/LMT,50%/40%/10%,2.4594757403916248
SCA-B.ST/DPZ/EXR,40%/40%/20%,2.459425797846627
SCA-B.ST/MO/TJX,20%/30%/50%,2.4593151259288466
SCA-B.ST/DPZ/EL,60%/20%/20%,2.458928140681684
SCA-B.ST/DPZ/QQQ,60%/30%/10%,2.458280259644634
SCA-B.ST/DPZ/GC_F,70%/10%/20%,2.45815330909015
DPZ/BF_B/MO,30%/50%/20%,2.458150982779608
SCA-B.ST/DPZ/AMZN,40%/20%/40%,2.4580244136899387
SCA-B.ST/MCD/IT,30%/40%/30%,2.4579706430449484
SCA-B.ST/MO/TJX,60%/10%/30%,2.457384935432659
SCA-B.ST/AMZN/MCD,30%/20%/50%,2.456720837207042
SCA-B.ST/DPZ/GC_F,60%/30%/10%,2.455686962723932
SCA-B.ST/DPZ/COST,30%/30%/40%,2.4551965993529112
SCA-B.ST/DPZ/IFF,50%/40%/10%,2.4551893620321903
SCA-B.ST/MCD/TJX,30%/30%/40%,2.455109811189209
SCA-B.ST/AMZN/ROST,30%/40%/30%,2.4547633671358775
SCA-B.ST/DPZ/MO,70%/10%/20%,2.4546871044790426
SCA-B.ST/DPZ/DTE,40%/40%/20%,2.4546741201683253
SCA-B.ST/DPZ/HD,50%/30%/20%,2.4546033149139848
SCA-B.ST/EXR/MCD,50%/10%/40%,2.4545949390388317
SCA-B.ST/AMZN/GC_F,40%/40%/20%,2.4542612219294937
SCA-B.ST/DPZ/COST,40%/40%/20%,2.454037920191971
SCA-B.ST/IT/GC_F,70%/10%/20%,2.454000327928122
SCA-B.ST/AMZN/ATO,60%/20%/20%,2.4538014735860205
DPZ/AVGO/MO,40%/30%/30%,2.4537951730726393
SCA-B.ST/AMZN/ROST,60%/30%/10%,2.4531188364001224
SCA-B.ST/DPZ/ROST,60%/10%/30%,2.453072775388525
SCA-B.ST/NI/TJX,50%/10%/40%,2.4529200624159007
DPZ/AMT/IT,40%/40%/20%,2.4522306241549603
SCA-B.ST/NI/MCD,40%/30%/30%,2.452082409639279
SCA-B.ST/DPZ/CB,40%/40%/20%,2.4514343866195376
SCA-B.ST/STZ/AMZN,40%/30%/30%,2.4507814534361407
SCA-B.ST/AVGO/GC_F,70%/10%/20%,2.4504518135996327
SCA-B.ST/DPZ/CMS,40%/20%/40%,2.4494754840188557
SCA-B.ST/DPZ/AVGO,50%/40%/10%,2.449271866744842
EXR/AMZN/MO,30%/20%/50%,2.448428081994917
SCA-B.ST/DPZ/AVGO,50%/30%/20%,2.4482849152955346
SCA-B.ST/MCD/ROST,20%/60%/20%,2.447450580233023
SCA-B.ST/CTAS/GC_F,50%/20%/30%,2.4473294009057853
SCA-B.ST/NI/TJX,50%/20%/30%,2.4471061422412532
SCA-B.ST/TJX/ROST,50%/40%/10%,2.4470426701065326
SCA-B.ST/DPZ/ROST,50%/10%/40%,2.4470116751977757
SCA-B.ST/DPZ/MCD,60%/30%/10%,2.446769481090191
SCA-B.ST/MO/TJX,30%/10%/60%,2.446663636853126
SCA-B.ST/AMZN/ROST,30%/30%/40%,2.4466292980011026
SCA-B.ST/DPZ/EXR,30%/30%/40%,2.4460515109813485
SCA-B.ST/EXR/MCD,70%/10%/20%,2.445959908188295
SCA-B.ST/DPZ/ROST,20%/20%/60%,2.4459347143773007
SCA-B.ST/DPZ/CTAS,40%/30%/30%,2.4456647335786745
SCA-B.ST/DPZ/MO,20%/30%/50%,2.445210912522604
SCA-B.ST/STZ/AMZN,50%/10%/40%,2.4440244633651833
