condition,active,diversity,n_21d,med_21d,wr_21d,lift_21d,n_63d,med_63d,wr_63d,lift_63d,n_252d,med_252d,wr_252d,lift_252d
ry=LOW + usd=MID,False,MODERATE,812,-0.0027,0.4692,-0.0108,812,-0.0052,0.4643,-0.0331,812,-0.0147,0.4187,-0.1281
baa10y=MID + se_10y=LOW,False,MODERATE,1074,-0.0019,0.4804,-0.01,1074,-0.0053,0.4739,-0.0332,1074,0.0402,0.6145,-0.0732
nominal_10y=LOW + baa10y=MID,False,MODERATE,950,-0.0036,0.4632,-0.0117,950,-0.0055,0.4737,-0.0334,950,0.012,0.5442,-0.1014
baa10y=WIDE + usd=WEAK,False,MODERATE,1074,0.0024,0.513,-0.0057,1074,-0.0067,0.4646,-0.0346,1074,0.0019,0.5065,-0.1115
ry=MID + nominal_10y=HIGH,False,ROBUST,93,-0.014,0.3656,-0.0221,93,-0.0072,0.4409,-0.0351,93,0.2808,1.0,0.1674
ry=MID + baa10y=TIGHT + nominal_10y=HIGH,False,THIN,85,-0.0154,0.3294,-0.0235,85,-0.0079,0.4235,-0.0358,85,0.2925,1.0,0.1791
ry=LOW,False,ROBUST,2088,-0.0039,0.4607,-0.012,2088,-0.0079,0.4588,-0.0358,2088,-0.0188,0.4334,-0.1322
nominal_10y=LOW + t10y3m=HIGH,False,MODERATE,442,-0.0026,0.4774,-0.0107,442,-0.0087,0.457,-0.0366,442,0.0126,0.5113,-0.1008
nominal_10y=LOW + breakeven=MID,False,ROBUST,463,-0.0103,0.4298,-0.0184,463,-0.009,0.4579,-0.0369,463,-0.0689,0.2073,-0.1823
ry=MID + baa10y=TIGHT + t10y2y=MID,False,ROBUST,217,-0.0029,0.447,-0.011,217,-0.0101,0.4332,-0.038,205,-0.0033,0.4585,-0.1167
ry=MID + baa10y=TIGHT + usd=MID,False,THIN,240,-0.0086,0.375,-0.0167,240,-0.0102,0.4708,-0.0381,240,-0.004,0.4458,-0.1174
ry=LOW + baa10y=TIGHT + breakeven=MID,False,THIN,51,0.0046,0.5686,-0.0035,51,-0.0102,0.4314,-0.0381,51,-0.0218,0.3725,-0.1352
ry=LOW + breakeven=MID,False,ROBUST,541,-0.0093,0.4418,-0.0174,541,-0.0103,0.4362,-0.0382,541,-0.0717,0.1867,-0.1851
baa10y=WIDE + t10y3m=MID,False,ROBUST,783,0.0019,0.5185,-0.0062,783,-0.0112,0.4598,-0.0391,783,-0.0336,0.4125,-0.147
ry=LOW + baa10y=WIDE + nominal_10y=LOW,False,MODERATE,762,-0.0044,0.4633,-0.0125,762,-0.0115,0.4514,-0.0394,762,-0.0567,0.3241,-0.1701
ry=LOW + baa10y=MID + breakeven=LOW,False,MODERATE,656,-0.0056,0.4314,-0.0137,656,-0.0116,0.4375,-0.0395,656,0.0173,0.5655,-0.0961
nominal_10y=MID + t10y2y=MID,False,ROBUST,336,0.0205,0.6369,0.0124,336,-0.0122,0.4405,-0.0401,259,0.0105,0.529,-0.1029
ry=LOW + baa10y=WIDE,False,MODERATE,784,-0.0034,0.4732,-0.0115,784,-0.0124,0.4452,-0.0403,784,-0.0561,0.3214,-0.1695
t10y3m=HIGH + t10y2y=MID,False,ROBUST,248,0.0215,0.6573,0.0134,248,-0.0128,0.4274,-0.0407,248,0.1025,0.871,-0.0109
baa10y=MID + t10y3m=MID,False,ROBUST,649,-0.0029,0.4669,-0.011,649,-0.013,0.4407,-0.0409,649,0.0237,0.6117,-0.0897
baa10y=MID + usd=MID,False,MODERATE,541,-0.006,0.4455,-0.0141,541,-0.015,0.3974,-0.0429,541,0.0011,0.5065,-0.1123
nominal_10y=MID + se_10y=LOW,False,MODERATE,385,-0.0069,0.413,-0.015,385,-0.015,0.4182,-0.0429,385,0.1345,0.7325,0.0211
ry=LOW + t10y3m=MID,False,ROBUST,1344,-0.0058,0.4405,-0.0139,1344,-0.0152,0.4152,-0.0431,1344,-0.0291,0.3735,-0.1425
breakeven=HIGH + usd=WEAK,False,MODERATE,552,-0.0039,0.4656,-0.012,552,-0.0164,0.4275,-0.0443,552,0.0351,0.5543,-0.0783
ry=LOW + baa10y=MID + nominal_10y=LOW,False,MODERATE,831,-0.0078,0.4188,-0.0159,831,-0.0172,0.4212,-0.0451,831,0.002,0.5102,-0.1114
ry=LOW + baa10y=MID + t10y3m=HIGH,False,MODERATE,216,-0.0134,0.375,-0.0215,216,-0.0181,0.3935,-0.046,216,-0.0825,0.1157,-0.1959
ry=LOW + baa10y=MID + se_10y=LOW,False,MODERATE,837,-0.0089,0.4062,-0.017,837,-0.0186,0.4098,-0.0465,837,0.0096,0.54,-0.1038
ry=LOW + t10y3m=HIGH,False,ROBUST,369,-0.0099,0.4092,-0.018,369,-0.0186,0.355,-0.0465,369,-0.0609,0.2629,-0.1743
ry=MID + baa10y=TIGHT + se_10y=HIGH,False,THIN,75,-0.0177,0.3333,-0.0258,75,-0.019,0.2667,-0.0469,75,0.2808,1.0,0.1674
breakeven=HIGH + t10y3m=MID,False,ROBUST,715,-0.008,0.421,-0.0161,694,-0.0193,0.3876,-0.0472,694,0.0135,0.5375,-0.0999
ry=LOW + baa10y=WIDE + t10y3m=HIGH,False,THIN,152,-0.0045,0.4605,-0.0126,152,-0.0193,0.3026,-0.0472,152,-0.0056,0.4671,-0.119
nominal_10y=MID + t10y3m=MID,False,ROBUST,438,-0.0061,0.4201,-0.0142,438,-0.0195,0.4178,-0.0474,438,0.0625,0.6963,-0.0509
ry=LOW + baa10y=MID,False,MODERATE,948,-0.0092,0.4072,-0.0173,948,-0.0199,0.4008,-0.0478,948,0.0014,0.5074,-0.112
ry=MID + baa10y=WIDE + se_10y=HIGH,False,MODERATE,219,0.0071,0.5525,-0.001,219,-0.0204,0.4201,-0.0483,219,0.0456,0.6895,-0.0678
ry=LOW + baa10y=MID + t10y2y=HIGH,False,MODERATE,187,-0.0157,0.3422,-0.0238,187,-0.0227,0.4011,-0.0506,187,-0.086,0.0267,-0.1994
ry=MID + baa10y=WIDE + t10y3m=MID,False,ROBUST,146,0.0291,0.6918,0.021,146,-0.0242,0.4452,-0.0521,146,0.0701,0.8288,-0.0433
ry=LOW + baa10y=WIDE + t10y3m=MID,False,MODERATE,544,-0.0078,0.432,-0.0159,544,-0.0246,0.4026,-0.0525,544,-0.106,0.2004,-0.2194
ry=MID + baa10y=WIDE + t10y2y=MID,False,ROBUST,254,0.0199,0.6535,0.0118,254,-0.0261,0.4528,-0.054,254,0.0884,0.8661,-0.025
breakeven=HIGH + se_10y=LOW,False,MODERATE,376,-0.0062,0.4441,-0.0143,376,-0.0269,0.3484,-0.0548,376,-0.0259,0.3936,-0.1393
ry=LOW + baa10y=MID + breakeven=MID,False,MODERATE,210,-0.0163,0.3524,-0.0244,210,-0.0273,0.4048,-0.0552,210,-0.0655,0.2286,-0.1789
ry=LOW + baa10y=MID + usd=MID,False,MODERATE,436,-0.0102,0.4106,-0.0183,436,-0.0276,0.3555,-0.0555,436,-0.0107,0.4427,-0.1241
t10y3m=HIGH + se_10y=LOW,False,ROBUST,277,-0.0099,0.3935,-0.018,277,-0.0278,0.3646,-0.0557,277,0.0205,0.5162,-0.0929
nominal_10y=LOW + se_10y=MID,False,THIN,380,-0.0144,0.4211,-0.0225,380,-0.0287,0.3395,-0.0566,380,-0.0512,0.3237,-0.1646
ry=LOW + baa10y=MID + t10y2y=MID,False,MODERATE,505,-0.0112,0.3822,-0.0193,505,-0.0289,0.3366,-0.0568,505,0.0002,0.505,-0.1132
ry=LOW + baa10y=MID + se_10y=MID,False,MODERATE,111,-0.0116,0.4144,-0.0197,111,-0.0299,0.3333,-0.0578,111,-0.0608,0.2613,-0.1742
nominal_10y=LOW + t10y2y=HIGH,False,ROBUST,544,-0.0176,0.3548,-0.0257,544,-0.0303,0.3235,-0.0582,544,-0.0566,0.3051,-0.17
t10y2y=HIGH + se_10y=LOW,False,MODERATE,199,-0.0198,0.2663,-0.0279,199,-0.0305,0.3166,-0.0584,199,-0.0674,0.3116,-0.1808
ry=LOW + baa10y=MID + t10y3m=MID,False,MODERATE,491,-0.0115,0.3849,-0.0196,491,-0.0308,0.3177,-0.0587,491,0.0079,0.5458,-0.1055
se_10y=LOW + usd=WEAK,False,THIN,280,-0.0086,0.4036,-0.0167,280,-0.0313,0.35,-0.0592,280,-0.1598,0.0536,-0.2732
ry=LOW + baa10y=WIDE + usd=WEAK,False,THIN,536,-0.0109,0.4067,-0.019,536,-0.0321,0.306,-0.06,536,-0.1094,0.1642,-0.2228
t10y3m=MID + usd=WEAK,False,MODERATE,544,-0.0073,0.4522,-0.0154,544,-0.0328,0.3493,-0.0607,544,-0.106,0.2316,-0.2194
nominal_10y=LOW + usd=WEAK,False,THIN,620,-0.0127,0.3935,-0.0208,620,-0.0333,0.3177,-0.0612,620,-0.1103,0.1742,-0.2237
ry=LOW + usd=WEAK,False,THIN,676,-0.0129,0.3891,-0.021,676,-0.0338,0.2973,-0.0617,676,-0.106,0.1317,-0.2194
t10y3m=MID + se_10y=MID,False,ROBUST,372,-0.0184,0.3495,-0.0265,350,-0.0338,0.3829,-0.0617,350,0.0209,0.5286,-0.0925
nominal_10y=LOW + breakeven=HIGH,False,MODERATE,398,-0.0058,0.4372,-0.0139,398,-0.0338,0.3065,-0.0617,398,-0.0587,0.2337,-0.1721
ry=LOW + t10y2y=HIGH,False,ROBUST,553,-0.0188,0.3436,-0.0269,553,-0.034,0.2803,-0.0619,553,-0.0688,0.2025,-0.1822
ry=LOW + baa10y=MID + nominal_10y=MID,False,MODERATE,117,-0.0203,0.3248,-0.0284,117,-0.0344,0.2564,-0.0623,117,-0.0133,0.4872,-0.1267
ry=LOW + baa10y=WIDE + t10y2y=HIGH,False,THIN,366,-0.0208,0.3443,-0.0289,366,-0.0362,0.2186,-0.0641,366,-0.0524,0.2923,-0.1658
ry=LOW + se_10y=MID,False,ROBUST,432,-0.0163,0.375,-0.0244,432,-0.037,0.2384,-0.0649,432,-0.0625,0.2431,-0.1759
ry=LOW + baa10y=WIDE + se_10y=MID,False,THIN,318,-0.0192,0.3648,-0.0273,318,-0.0391,0.2075,-0.067,318,-0.0629,0.2296,-0.1763
ry=LOW + breakeven=HIGH,False,MODERATE,476,-0.0095,0.395,-0.0176,476,-0.0407,0.2752,-0.0686,476,-0.0361,0.3529,-0.1495
t10y3m=MID + t10y2y=HIGH,False,ROBUST,260,-0.0284,0.2923,-0.0365,260,-0.0427,0.1808,-0.0706,260,-0.0629,0.2731,-0.1763
ry=LOW + baa10y=WIDE + nominal_10y=MID,False,THIN,22,0.0179,0.8182,0.0098,22,-0.0463,0.2273,-0.0742,22,-0.0506,0.2273,-0.164
ry=LOW + baa10y=MID + usd=WEAK,False,THIN,140,-0.0163,0.3214,-0.0244,140,-0.0476,0.2643,-0.0755,140,-0.0959,0.0071,-0.2093
ry=LOW + baa10y=MID + breakeven=HIGH,False,THIN,82,-0.017,0.3537,-0.0251,82,-0.0487,0.0976,-0.0766,82,0.0652,0.7561,-0.0482
ry=LOW + nominal_10y=MID,False,ROBUST,158,-0.0162,0.3544,-0.0243,158,-0.0487,0.2215,-0.0766,158,0.0064,0.5127,-0.107
ry=MID + baa10y=WIDE + breakeven=HIGH,False,THIN,108,-0.0162,0.4167,-0.0243,108,-0.0686,0.2963,-0.0965,108,0.028,0.6389,-0.0854
breakeven=HIGH + baa10y=WIDE,False,MODERATE,298,-0.0174,0.3087,-0.0255,298,-0.0724,0.1208,-0.1003,298,-0.1413,0.2617,-0.2547
ry=LOW + baa10y=WIDE + breakeven=HIGH,False,THIN,181,-0.0187,0.221,-0.0268,181,-0.0729,0.0166,-0.1008,181,-0.2381,0.0,-0.3515
ry=LOW + baa10y=TIGHT + nominal_10y=MID,False,THIN,19,-0.0524,0.0,-0.0605,19,-0.1098,0.0,-0.1377,19,0.0357,1.0,-0.0777
