condition,active,diversity,n_21d,med_21d,wr_21d,lift_21d,n_63d,med_63d,wr_63d,lift_63d,n_252d,med_252d,wr_252d,lift_252d
nominal_10y=HIGH + se_10y=HIGH,False,MODERATE,1428,0.0131,0.6015,0.005,1428,0.03,0.6863,0.0021,1428,0.1473,0.9706,0.0339
breakeven=MID + se_10y=MID,True,ROBUST,1259,0.0079,0.5743,-0.0002,1253,0.0299,0.6616,0.002,1141,0.1712,0.6819,0.0578
t10y3m=HIGH + se_10y=MID,False,ROBUST,897,0.0164,0.6154,0.0083,897,0.0296,0.709,0.0017,897,0.1478,0.66,0.0344
baa10y=TIGHT + se_10y=HIGH,False,THIN,644,0.0117,0.5947,0.0036,644,0.0288,0.6537,0.0009,644,0.2547,0.9674,0.1413
t10y2y=LOW + usd=MID,False,ROBUST,519,0.0011,0.5067,-0.007,519,0.0286,0.6513,0.0007,519,0.1995,0.9326,0.0861
t10y3m=HIGH,False,ROBUST,2300,0.0117,0.5896,0.0036,2300,0.0284,0.6683,0.0005,2300,0.1225,0.7874,0.0091
ry=MID + nominal_10y=MID,False,ROBUST,1594,0.0089,0.5809,0.0008,1594,0.0284,0.6361,0.0005,1582,0.1576,0.7958,0.0442
breakeven=MID,True,ROBUST,2152,0.0079,0.5734,-0.0002,2146,0.028,0.6347,0.0001,2034,0.1021,0.6421,-0.0113
ry=LOW + baa10y=MID + t10y3m=LOW,False,THIN,241,-0.0023,0.4813,-0.0104,241,0.0279,0.5768,0.0,241,0.2494,0.7801,0.136
nominal_10y=LOW + baa10y=TIGHT,False,THIN,381,0.0123,0.622,0.0042,381,0.0279,0.7165,0.0,381,-0.0166,0.4121,-0.13
ry=MID + hy_oas=WIDE,False,THIN,50,-0.0044,0.46,-0.0125,50,0.0277,0.68,-0.0002,50,0.2564,1.0,0.143
ry=MID + baa10y=TIGHT + hy_oas=WIDE,False,THIN,50,-0.0044,0.46,-0.0125,50,0.0277,0.68,-0.0002,50,0.2564,1.0,0.143
t10y2y=HIGH + usd=MID,False,ROBUST,272,0.0019,0.511,-0.0062,272,0.0275,0.6985,-0.0004,272,0.2066,0.7941,0.0932
t10y3m=MID + usd=STRONG,False,ROBUST,350,0.0036,0.5257,-0.0045,328,0.0274,0.6037,-0.0005,328,0.0644,0.8323,-0.049
ry=MID + baa10y=WIDE + nominal_10y=MID,False,ROBUST,499,0.0195,0.6092,0.0114,499,0.0272,0.6333,-0.0007,499,0.1843,0.8357,0.0709
nominal_10y=HIGH + baa10y=WIDE,False,MODERATE,424,0.0175,0.6274,0.0094,424,0.0272,0.717,-0.0007,424,0.1474,0.9976,0.034
baa10y=TIGHT + t10y3m=HIGH,False,ROBUST,45,0.0164,0.7333,0.0083,45,0.0271,0.6667,-0.0008,45,0.1072,1.0,-0.0062
ry=LOW + baa10y=WIDE + usd=MID,False,THIN,149,0.0006,0.5168,-0.0075,149,0.0265,0.604,-0.0014,149,0.0076,0.5503,-0.1058
ry=LOW + baa10y=TIGHT + nominal_10y=LOW,False,THIN,337,0.0121,0.6083,0.004,337,0.0256,0.6795,-0.0023,337,-0.0084,0.454,-0.1218
baa10y=MID + t10y2y=HIGH,False,ROBUST,844,0.0056,0.5604,-0.0025,844,0.0255,0.6611,-0.0024,844,0.0531,0.5983,-0.0603
t10y2y=HIGH,False,ROBUST,2306,0.0068,0.5499,-0.0013,2306,0.0253,0.6409,-0.0026,2306,0.1074,0.7199,-0.006
nominal_10y=HIGH + t10y3m=MID,False,ROBUST,346,0.0045,0.5636,-0.0036,324,0.0247,0.713,-0.0032,324,0.2057,0.9691,0.0923
baa10y=WIDE + t10y2y=HIGH,False,ROBUST,1431,0.0063,0.5367,-0.0018,1431,0.0241,0.6219,-0.0038,1431,0.1549,0.7855,0.0415
baa10y=WIDE,False,ROBUST,2285,0.0094,0.5659,0.0013,2285,0.0241,0.6109,-0.0038,2285,0.1021,0.7309,-0.0113
t10y3m=HIGH + usd=WEAK,False,MODERATE,1088,0.009,0.5754,0.0009,1088,0.024,0.6324,-0.0039,1088,0.0702,0.6268,-0.0432
nominal_10y=LOW + breakeven=LOW,False,ROBUST,1451,0.005,0.5562,-0.0031,1451,0.0239,0.6092,-0.004,1451,0.0392,0.6554,-0.0742
nominal_10y=HIGH + t10y2y=MID,False,ROBUST,551,0.0102,0.5935,0.0021,513,0.0239,0.6881,-0.004,394,0.1743,0.9492,0.0609
ry=MID + baa10y=TIGHT + hy_oas=MID,False,THIN,22,0.0411,0.8636,0.033,22,0.0237,0.6364,-0.0042,18,0.418,1.0,0.3046
ry=MID + hy_oas=MID,False,THIN,22,0.0411,0.8636,0.033,22,0.0237,0.6364,-0.0042,18,0.418,1.0,0.3046
baa10y=WIDE + t10y2y=MID,False,ROBUST,776,0.0142,0.6276,0.0061,776,0.0235,0.5902,-0.0044,776,0.0315,0.6044,-0.0819
breakeven=LOW + se_10y=LOW,False,MODERATE,1434,0.0043,0.5551,-0.0038,1434,0.0232,0.6067,-0.0047,1434,0.0449,0.6632,-0.0685
ry=MID + baa10y=MID + breakeven=MID,False,ROBUST,349,0.0039,0.5501,-0.0042,349,0.0231,0.6132,-0.0048,349,0.0805,0.6103,-0.0329
nominal_10y=MID + t10y2y=LOW,False,MODERATE,728,-0.0,0.5,-0.0081,728,0.0224,0.603,-0.0055,728,0.1865,0.9698,0.0731
breakeven=HIGH,False,ROBUST,1917,0.0063,0.5566,-0.0018,1880,0.0223,0.6032,-0.0056,1791,0.1158,0.7856,0.0024
ry=LOW + baa10y=TIGHT + se_10y=LOW,False,THIN,353,0.0095,0.5807,0.0014,353,0.0222,0.6487,-0.0057,353,-0.0037,0.4788,-0.1171
baa10y=MID + t10y3m=HIGH,False,ROBUST,914,0.0083,0.581,0.0002,914,0.0218,0.6521,-0.0061,914,0.0627,0.6116,-0.0507
t10y2y=LOW + se_10y=HIGH,False,MODERATE,585,0.0102,0.5675,0.0021,585,0.0218,0.6154,-0.0061,585,0.2134,0.9726,0.1
