label,sleeve_pct,n_sleeve,cagr,vol,sharpe,mdd,calmar
Base80%+Rot20%(n=1),0.2,1,0.22959780392058637,0.23497848947443414,0.9984734564119433,-0.47595299950040043,0.4823959596043962
Base80%+Rot20%(n=2),0.2,2,0.2573711168232189,0.22030357128862885,1.151376128750934,-0.433072389045683,0.5942912162799413
Base80%+Rot20%(n=3),0.2,3,0.2514835292141533,0.21720787650517392,1.1429870539667801,-0.42047973087600643,0.598087162703955
Base70%+Rot30%(n=1),0.3,1,0.2141606464723258,0.2551573307641337,0.8895327613092916,-0.5482719691579601,0.3906102418499257
Base70%+Rot30%(n=2),0.3,2,0.2561190613370208,0.22816369066463038,1.1152276207767107,-0.48182992727041063,0.5315549052503804
Base70%+Rot30%(n=3),0.3,3,0.24731698691750648,0.2228711527711476,1.1046762905410137,-0.46550232057102225,0.5312905564340211
Base60%+Rot40%(n=1),0.4,1,0.1966863572841122,0.27916683099421324,0.7843277941253217,-0.6077566426434243,0.32362683265563197
Base60%+Rot40%(n=2),0.4,2,0.2528370471446586,0.23897309774855238,1.0645475524426995,-0.5211000738855981,0.48519863998362484
Base60%+Rot40%(n=3),0.4,3,0.24119723520323966,0.23116452864394846,1.0519949341879562,-0.5019357569512005,0.4805340760504725
Base50%+Rot50%(n=1),0.5,1,0.17753289134023276,0.30560204469890045,0.689344302051915,-0.656773097363437,0.2703108456374421
Base50%+Rot50%(n=2),0.5,2,0.24783974302559808,0.2521193180351895,1.0061327119621783,-0.5534503978877314,0.4478084106028105
Base50%+Rot50%(n=3),0.5,3,0.23347095231263482,0.24155946315154042,0.9911111571902154,-0.531330328655734,0.4394082922074417
