gold,avgo,lly,cagr,vol,sharpe,mdd,calmar,label
0,0,100,0.1675251668939699,0.26365927549659024,0.7195454893914435,-0.576941585922495,0.2903676402977733,Gold0/AVGO0/LLY100
0,5,95,0.17391162632460833,0.2565835672907279,0.7535774162560038,-0.576941585922495,0.30143714817598743,Gold0/AVGO5/LLY95
0,10,90,0.1790437314373141,0.25189544085225013,0.780305040089109,-0.576941585922495,0.3103325116545966,Gold0/AVGO10/LLY90
0,15,85,0.19033915646287647,0.24786536739263404,0.8275248634042177,-0.576941585922495,0.3299106202554901,Gold0/AVGO15/LLY85
0,20,80,0.19794821752986014,0.24500611910638412,0.8604256490345266,-0.576941585922495,0.34309923631757766,Gold0/AVGO20/LLY80
0,25,75,0.20271033829700857,0.24350007220436987,0.8806310731883854,-0.576941585922495,0.3513533141711165,Gold0/AVGO25/LLY75
0,30,70,0.20847452205440398,0.24300329464463302,0.9016979598243678,-0.576941585922495,0.3613442454855559,Gold0/AVGO30/LLY70
0,35,65,0.21800816349752106,0.24454456407311176,0.9297527159038644,-0.576941585922495,0.3778686938452167,Gold0/AVGO35/LLY65
0,40,60,0.21754904404601194,0.2466476244222927,0.9224323958128754,-0.576941585922495,0.3770729123264083,Gold0/AVGO40/LLY60
0,45,55,0.2271987276241565,0.2504611225938594,0.9437728226785913,-0.576941585922495,0.39379849393397315,Gold0/AVGO45/LLY55
0,50,50,0.2305179455615889,0.2556643935795748,0.9402971226664113,-0.576941585922495,0.3995516204521893,Gold0/AVGO50/LLY50
0,55,45,0.23327285635058637,0.2618761478186739,0.9326905241636217,-0.576941585922495,0.4043266459594814,Gold0/AVGO55/LLY45
0,60,40,0.23710712472539752,0.26928657580461207,0.9258752127285068,-0.576941585922495,0.41097249792849905,Gold0/AVGO60/LLY40
0,65,35,0.24378528455366788,0.2770927833923103,0.9269377536191156,-0.576941585922495,0.4225476036085522,Gold0/AVGO65/LLY35
0,70,30,0.24837134111283476,0.28664105572529763,0.9182707339287468,-0.576941585922495,0.430496513292076,Gold0/AVGO70/LLY30
0,75,25,0.2510132271744412,0.29673707311316283,0.9040694016312542,-0.576941585922495,0.43507563555691015,Gold0/AVGO75/LLY25
0,80,20,0.255207701912169,0.3089392923372651,0.8911069319763217,-0.576941585922495,0.44234582519148313,Gold0/AVGO80/LLY20
0,85,15,0.25497133486550094,0.3198484465194893,0.8708494580765821,-0.576941585922495,0.4419361354543668,Gold0/AVGO85/LLY15
0,90,10,0.25665294607010103,0.33439752342745516,0.85107183304959,-0.576941585922495,0.44485083469885145,Gold0/AVGO90/LLY10
0,95,5,0.2597048206155552,0.3507128484358992,0.8343374054890293,-0.576941585922495,0.4501405808705968,Gold0/AVGO95/LLY5
0,100,0,0.2932018922017279,0.33114442943191447,0.9428944808749463,-0.48299966556696666,0.6070436753978998,Gold0/AVGO100/LLY0
5,0,95,0.17076870204978079,0.2567200350413054,0.7428283070249522,-0.5228272446456884,0.3266254844188695,Gold5/AVGO0/LLY95
5,5,90,0.17729903734890295,0.2453053437345912,0.7885517063272778,-0.5208359993488904,0.3404124092239184,Gold5/AVGO5/LLY90
5,10,85,0.18409762856944045,0.23852750662331662,0.828371566871121,-0.5181053240713103,0.3553285789900547,Gold5/AVGO10/LLY85
5,15,80,0.19129358694235332,0.23444661593373234,0.8646333849817059,-0.5161534914761744,0.37061376141283625,Gold5/AVGO15/LLY80
5,20,75,0.20097110322973433,0.23155111476718704,0.9075390824409117,-0.5126980905630919,0.3919872278225368,Gold5/AVGO20/LLY75
5,25,70,0.20585518367784683,0.23034432440518507,0.9287991592695299,-0.5081854393497147,0.4050788703062088,Gold5/AVGO25/LLY70
5,30,65,0.20984406575880765,0.22918913078785907,0.9468470309234659,-0.5058514557705853,0.41483337324618974,Gold5/AVGO30/LLY65
5,35,60,0.21716332259778048,0.23111191672420042,0.9670426025630998,-0.5007845193360515,0.43364623747894454,Gold5/AVGO35/LLY60
5,40,55,0.22351441629769364,0.23301929196272264,0.9834566696945364,-0.4944500329718057,0.45204651914835403,Gold5/AVGO40/LLY55
5,45,50,0.22962039202019202,0.23708419387044788,0.991662107527812,-0.4874235972611734,0.47109001966754566,Gold5/AVGO45/LLY50
5,50,45,0.23406666536286158,0.24204552497078619,0.9911935359972617,-0.47931524021575556,0.4883355372917007,Gold5/AVGO50/LLY45
5,55,40,0.24094688916416862,0.2489951760008343,0.9927221610829746,-0.46968125741689126,0.5130008603905245,Gold5/AVGO55/LLY40
5,60,35,0.2453770390624206,0.2561851773705494,0.9858958117361598,-0.4564751491185944,0.5375474207877864,Gold5/AVGO60/LLY35
5,65,30,0.24942610730311587,0.2643902870060429,0.9756729635087377,-0.4387957442556966,0.5684332871691877,Gold5/AVGO65/LLY30
5,70,25,0.25706164896968087,0.2740702309616177,0.9729077033402826,-0.4196122579892452,0.612617110380673,Gold5/AVGO70/LLY25
5,75,20,0.2627051529146025,0.28423213480813986,0.9638954526372778,-0.4059604848574842,0.6471200097389462,Gold5/AVGO75/LLY20
5,80,15,0.2682404951353281,0.29432954993754823,0.9555721988125199,-0.40330077508044215,0.6651127687067425,Gold5/AVGO80/LLY15
5,85,10,0.2793848999841788,0.3046330153981966,0.9621863430695723,-0.42624153139375726,0.6554614682211389,Gold5/AVGO85/LLY10
5,90,5,0.2944964070150775,0.31748580593826564,0.9728760168626645,-0.4526758082321323,0.6505680260785212,Gold5/AVGO90/LLY5
5,95,0,0.33796105194473314,0.34394478990869415,1.0195776581569158,-0.4815140153836887,0.7018716821262885,Gold5/AVGO95/LLY0
10,0,90,0.16675894302231642,0.240964827848303,0.7609988523838911,-0.47931524021575556,0.34791078820538385,Gold10/AVGO0/LLY90
