period,variant,cagr,sharpe,maxdd,calmar,years,trades_per_yr
AVGO half 1 (2009-2017),STATIC,0.2449869918273777,1.349277735504589,-0.13456940232063186,1.8205252278943718,8.147843942505133,0.0
AVGO half 1 (2009-2017),SYMMETRIC,0.18738462286084578,1.0661305350376509,-0.15067091395508614,1.243668190110692,8.147843942505133,16.8
AVGO half 1 (2009-2017),DOWNSIDE,0.1666480519446174,0.9663735240779256,-0.17260151834681303,0.9655074505762274,8.147843942505133,19.6
AVGO half 2 (2017-2026),STATIC,0.3655968840197701,1.5182619485350708,-0.2345289211322682,1.5588562905364791,8.865160848733744,0.0
AVGO half 2 (2017-2026),SYMMETRIC,0.2864830792104751,1.2950612734157223,-0.21481974967461692,1.333597491126422,8.865160848733744,20.0
AVGO half 2 (2017-2026),DOWNSIDE,0.28424824994459064,1.2856157423737875,-0.1962568599093628,1.4483480988937907,8.865160848733744,20.4
AVGO pre-AI-melt-up (2009-2022),STATIC,0.24731588293234874,1.2725190300489901,-0.23452892113226764,1.054521897505637,13.399041752224504,0.0
AVGO pre-AI-melt-up (2009-2022),SYMMETRIC,0.1856626097127385,1.0091870753967431,-0.21481974967461714,0.8642716044216496,13.399041752224504,17.3
AVGO pre-AI-melt-up (2009-2022),DOWNSIDE,0.17039130914746425,0.9460821383449697,-0.19625685990936304,0.8682056220921693,13.399041752224504,20.2
AVGO AI-melt-up ONLY (2023-2026),STATIC,0.5515560325999873,1.947776368319105,-0.2076628231724318,2.6560172118145844,3.6112251882272415,0.0
AVGO AI-melt-up ONLY (2023-2026),SYMMETRIC,0.4527054027665862,1.7579664008391729,-0.1713422602572635,2.6421117714151037,3.6112251882272415,22.4
AVGO AI-melt-up ONLY (2023-2026),DOWNSIDE,0.4607577192525951,1.7454945739713554,-0.16863823417739798,2.732225710854537,3.6112251882272415,19.4
"TXN half 1, incl. dot-com+GFC (2000-2013)",STATIC,0.0472795983062817,0.3235977244377525,-0.4414580058607319,0.10709874479249366,12.919917864476385,0.0
"TXN half 1, incl. dot-com+GFC (2000-2013)",SYMMETRIC,0.024696542667241195,0.22193628009201125,-0.5407750692538456,0.045668789245993095,12.919917864476385,5.3
"TXN half 1, incl. dot-com+GFC (2000-2013)",DOWNSIDE,0.01545692747627192,0.18230105775927938,-0.5485895021270126,0.02817576241678289,12.919917864476385,7.0
"TXN half 2, modern era (2013-2026)",STATIC,0.22619062548036406,1.2268271791532726,-0.17802081501287093,1.2705852709640186,13.034907597535934,0.0
"TXN half 2, modern era (2013-2026)",SYMMETRIC,0.1866547360091657,1.0308576341807356,-0.18817863016782732,0.9919018745258028,13.034907597535934,9.8
"TXN half 2, modern era (2013-2026)",DOWNSIDE,0.17675933353784412,0.9883973888620569,-0.192845350015999,0.9165859250595343,13.034907597535934,12.5
