ticker,weight,mu_raw,mu_shrunk,sigma,n,hist_yr,div_label,ry,baa
WYNN,0.324384,0.3768,0.2546,0.3726,314,23.6,THIN,HIGH,MID
DECK,0.201855,0.4648,0.3084,0.6995,314,26.4,THIN,HIGH,MID
AKAM,0.189407,0.6058,0.3945,0.9881,314,26.4,THIN,HIGH,MID
MNST,0.116122,0.3379,0.2309,0.4279,314,26.4,THIN,HIGH,MID
AXON,0.113054,1.6071,1.0062,2.6545,314,25.0,THIN,HIGH,MID
GC_F,0.05,0.0197,0.0365,0.0475,314,25.7,THIN,HIGH,MID
INCY,0.005178,0.3041,0.2102,0.3431,314,26.4,THIN,HIGH,MID
