ticker,weight,mu_raw,mu_shrunk,sigma,n,hist_yr,div_label,ry,baa
EW,0.35,0.1019,0.0895,0.1264,690,26.2,MODERATE,MID,WIDE
TRMB,0.35,0.0964,0.0847,0.1329,690,26.4,MODERATE,MID,WIDE
ZC_F,0.183226,0.094,0.0826,0.1743,690,25.8,MODERATE,MID,WIDE
CMI,0.066774,0.0898,0.0789,0.1705,690,26.4,MODERATE,MID,WIDE
GC_F,0.05,0.0287,0.0255,0.0717,690,25.7,MODERATE,MID,WIDE
