,optimizer,ew_regime,ew_all,spy
2004-01-02,1.0,0.9990919895340411,0.9990919895340411,0.9995506897362997
2004-01-05,0.9990919895340411,1.0109285195691395,1.0109285195691395,1.0104247436891531
2004-01-06,1.0109285195691395,1.0130839725392502,1.0130839725392502,1.0114125221186154
2004-01-07,1.0130839725392502,1.0154356351686615,1.0154356351686615,1.0148281706662425
2004-01-08,0.9965507767476345,1.0122032163165076,1.0206807419657384,1.0188714452816934
2004-01-09,1.0063820419533005,1.036311883977941,1.0167659811367373,1.0099756405285936
2004-01-12,1.0323810963677504,1.0604789771615168,1.022167544251085,1.0174337352791087
2004-01-13,1.0191561028906655,1.0520157026825505,1.0189171586485333,1.0115030261910916
2004-01-14,1.0682848629901422,1.1062937707135638,1.0276290167035529,1.019950349093054
2004-01-15,1.0822788008074198,1.1050074744712248,1.027646275553842,1.0224656167365846
2004-01-16,1.1195714134876122,1.145153305799322,1.035340721459333,1.02651023752245
2004-01-20,1.1413164695210372,1.16414664480887,1.0394534877811599,1.026240382130147
2004-01-21,1.1487447120454801,1.177011120908844,1.0439948763736238,1.034327966876752
2004-01-22,1.1286563657749034,1.1556288612383874,1.0413486569750356,1.0316330372586833
2004-01-23,1.1265627190648406,1.1610026761224292,1.040046379509597,1.028307478577251
2004-01-26,1.1737813531466126,1.2066235486181494,1.0484549927109985,1.0412480076677866
2004-01-27,1.1588111295939567,1.1875492022867662,1.0410652106701874,1.0305538227926119
2004-01-28,1.1266147525589862,1.1557438858119902,1.0280814362895137,1.0187815625186394
2004-01-29,1.1213464546998784,1.1440756446978657,1.0267357354633297,1.0197706871185162
2004-01-30,1.1208287732170987,1.1476364963509684,1.0285067265827952,1.0197706871185162
2004-02-02,1.139734721557992,1.1805446036904033,1.030484502937376,1.0241738034408945
2004-02-03,1.1340173789697587,1.166972748710364,1.0296972933628976,1.0224656167365849
2004-02-04,1.1207588270358522,1.140533191118346,1.018325267737538,1.014108590803958
2004-02-05,1.1925568170641967,1.187802224652781,1.0238947200435256,1.0170743077784627
2004-02-06,1.223776916829082,1.2143154565252585,1.0414947556994067,1.0284872441033597
2004-02-09,1.2670823368724025,1.2461554426290211,1.0419114044059368,1.028756892392522
2004-02-10,1.2588050538692126,1.251584031166018,1.0476126637470675,1.0320816226613918
2004-02-11,1.2825139011409339,1.2784512316167278,1.05969291307293,1.0430447309647366
2004-02-12,1.3334134422186565,1.3152302481906195,1.055830417588893,1.039270483329026
2004-02-13,1.346086984728212,1.3208323503334778,1.0495816384117953,1.0345980293721964
2004-02-17,1.3696951382072295,1.3458914814213436,1.0604321455188448,1.043943869249989
2004-02-18,1.3805413385233403,1.3553953276084718,1.0576543888592482,1.0393607802983615
2004-02-19,1.3465984143555518,1.3228856120197443,1.0510915815922515,1.0354969605543078
2004-02-20,1.3348160053124678,1.319653156002691,1.0456228529778235,1.0323514780536949
2004-02-23,1.2943982948131738,1.278895635623549,1.037320923810589,1.029745085028266
2004-02-24,1.2770585882567658,1.2708716015372965,1.0350488582556534,1.0279477404218944
