ticker,weight,mu_raw,mu_shrunk,sigma,n,hist_yr,div_label,ry,baa
KDP,0.35,0.1857,0.1502,0.2284,431,18.1,MODERATE,MID,TIGHT
NG_F,0.35,0.2663,0.2253,0.3534,556,25.7,ROBUST,MID,TIGHT
ULTA,0.226113,0.1567,0.1267,0.1819,431,18.6,MODERATE,MID,TIGHT
GC_F,0.05,-0.0141,-0.0124,0.0421,556,25.7,ROBUST,MID,TIGHT
LULU,0.023887,0.1498,0.1211,0.2817,431,18.9,MODERATE,MID,TIGHT
