ticker,weight,mu_raw,mu_shrunk,sigma,n,hist_yr,div_label,ry,baa
NFLX,0.35,0.1873,0.1406,0.232,326,24.0,MODERATE,HIGH,WIDE
SBAC,0.344663,0.1306,0.0971,0.2571,326,26.4,MODERATE,HIGH,WIDE
AKAM,0.141197,0.1316,0.0979,0.4086,326,26.4,MODERATE,HIGH,WIDE
BKNG,0.11414,0.1097,0.0811,0.2439,326,26.4,MODERATE,HIGH,WIDE
GC_F,0.05,0.0394,0.0274,0.0721,326,25.7,MODERATE,HIGH,WIDE
