ticker,weight,mu_raw,mu_shrunk,sigma,n,hist_yr,div_label,ry,baa
PHM,0.35,0.5671,0.5121,0.8199,782,26.4,MODERATE,LOW,WIDE
STZ,0.233233,0.3058,0.2804,0.3132,782,26.4,MODERATE,LOW,WIDE
TSLA,0.184841,0.3967,0.361,0.7482,782,16.0,MODERATE,LOW,WIDE
LEN,0.117547,0.3112,0.2853,0.4855,782,26.4,MODERATE,LOW,WIDE
STX,0.06438,0.3007,0.2759,0.5342,782,23.5,MODERATE,LOW,WIDE
GC_F,0.05,-0.0169,-0.0057,0.1021,782,25.7,MODERATE,LOW,WIDE
