ticker,weight,mu_raw,mu_shrunk,sigma,n,hist_yr,div_label,ry,baa
STLD,0.35,0.138,0.1283,0.1876,948,26.4,ROBUST,LOW,MID
URI,0.308354,0.1325,0.1233,0.1894,948,26.4,ROBUST,LOW,MID
TPL,0.291646,0.1961,0.1808,0.4848,948,26.4,ROBUST,LOW,MID
GC_F,0.05,-0.0224,-0.0168,0.0425,948,25.7,ROBUST,LOW,MID
