,walkforward,ew_regime,spy
2004-01-08,0.9804929428551685,0.9885868937966011,1.0039841962731448
2004-01-09,0.9937639354507712,1.0058505199955614,0.9952183726487772
2004-01-12,1.0179962563074723,1.0324427711929882,1.0025674933828015
2004-01-13,1.0076979179199497,1.0211439401783737,0.996723440902347
2004-01-14,1.0453996910251662,1.0601756187449434,1.0050473356720562
2004-01-15,1.0658354511966142,1.0684389943508534,1.0075258514604772
2004-01-16,1.1010075319106634,1.1002972579953922,1.011511374234456
2004-01-20,1.1243758498861678,1.1199170015245405,1.011245461836571
2004-01-21,1.1474248873610495,1.131758836120242,1.0192148747681173
2004-01-22,1.138574226933319,1.1206892388645207,1.0165593221376663
2004-01-23,1.1287283320897052,1.1174471866079894,1.0132823548859107
2004-01-26,1.1594227546863078,1.1511785987742924,1.0260338033227825
2004-01-27,1.1437845991424929,1.1397612500301926,1.0154958766231779
2004-01-28,1.1132502505338273,1.1141707733321602,1.0038956268328671
2004-01-29,1.1097898822465133,1.1037766348177065,1.0048702988300264
2004-01-30,1.0999674206823136,1.0993745744762973,1.0048702988300264
2004-02-02,1.1283558115910066,1.1155912409498492,1.0092090789798598
2004-02-03,1.1245947724122596,1.1087664730014426,1.0075258514604777
2004-02-04,1.1065612783743437,1.089526947332696,0.9992909342851489
2004-02-05,1.1718874279086096,1.137050887995551,1.002213317660216
2004-02-06,1.2037170200258887,1.1642781162456557,1.0134594937664667
2004-02-09,1.235927195024834,1.1891079550509083,1.0137252020873004
2004-02-10,1.2325835596943227,1.195995143224135,1.0170013530308508
2004-02-11,1.2536904841580205,1.226586995675006,1.0278042737816095
2004-02-12,1.2998527936075965,1.2776071903968778,1.0240851735981442
2004-02-13,1.3142240585517928,1.282244908158363,1.0194809912430542
2004-02-17,1.3399866195998527,1.3090708575419516,1.0286902742999653
2004-02-18,1.360645652855775,1.3110582735289011,1.0241741511925249
2004-02-19,1.3340904140280208,1.2746516135302406,1.0203667876843587
2004-02-20,1.3256617262091883,1.273492658392676,1.0172672654287358
2004-02-23,1.279449925118273,1.2396706567513909,1.0146989557377288
2004-02-24,1.2612449162319452,1.2258649796829877,1.0129278730477485
2004-02-25,1.307938094317825,1.2754378022850157,1.0171782878343552
2004-02-26,1.3390930528331055,1.3018197327168486,1.0177984779933515
2004-02-27,1.3664394372132536,1.324412284778358,1.0185067273999977
2004-03-01,1.4053672131474892,1.3542667270120186,1.0286017048596874
2004-03-02,1.3989985227731943,1.3484083195120335,1.0225804114601513
2004-03-03,1.398627209557111,1.3479720575579122,1.02443934932073
2004-03-04,1.403981768191676,1.3542628500667957,1.027096126413489
2004-03-05,1.4089831260954537,1.360143593020643,1.030549416237595
2004-03-08,1.3996277630269325,1.349134732226118,1.0179750046427531
2004-03-09,1.3923794847691202,1.3406178547935856,1.013902034852279
2004-03-10,1.3757855528061291,1.3211418687763608,0.9969008858984799
2004-03-11,1.3614660809957821,1.3043797668954753,0.9839715843113727
2004-03-12,1.3781117417592947,1.3238199805063873,0.9969008858984799
2004-03-15,1.3616361811955469,1.3045275269174486,0.9846806500262241
2004-03-16,1.3654799283106218,1.3090165282823751,0.9899049205017848
2004-03-17,1.3833928403104097,1.329949397855231,1.000973855688954
2004-03-18,1.3822308010275821,1.328587598360385,1.0012389517786335
2004-03-19,1.374715558179675,1.3197820701574516,0.9868882535290023
2004-03-22,1.358164282590858,1.3004123381599133,0.9743589429625048
2004-03-23,1.3587087795876844,1.3010478549525157,0.9726708175938906
2004-03-24,1.3562781198070324,1.2982106296136473,0.9734703914810074
2004-03-25,1.3759752276500468,1.3211933605927795,0.986355000193873
2004-03-26,1.3765654392192266,1.3218841827382666,0.9866217288999632
2004-03-29,1.3919245896068402,1.339863222902523,1.000484070765758
2004-03-30,1.4000185788771176,1.3493607414294466,1.0038605255800377
2004-03-31,1.4020672978290392,1.3517677598955156,1.005015601690574
