ticker,weight,mu_raw,mu_shrunk,sigma,n,hist_yr,div_label,ry,baa
BKNG,0.305909,0.3493,0.3278,0.4693,1217,26.4,MODERATE,HIGH,TIGHT
ICE,0.208367,0.3739,0.3472,0.6453,1051,20.6,MODERATE,HIGH,TIGHT
GRMN,0.191371,0.2983,0.2807,0.3251,1217,25.5,MODERATE,HIGH,TIGHT
ALGN,0.104632,0.3571,0.335,0.8444,1217,25.3,MODERATE,HIGH,TIGHT
DECK,0.103095,0.31,0.2915,0.5492,1217,26.4,MODERATE,HIGH,TIGHT
GC_F,0.05,0.0907,0.0889,0.1131,1217,25.7,MODERATE,HIGH,TIGHT
MOS,0.021091,0.281,0.2647,0.4493,1217,26.4,MODERATE,HIGH,TIGHT
FSLR,0.015535,0.2901,0.2649,0.5347,788,19.6,MODERATE,HIGH,TIGHT
